"","Subject 01","Subject 02","Subject 03","Subject 04","Subject 05","Subject 06","Subject 07","Subject 08","Subject 09","Subject 10","Subject 11","Subject 12","Subject 13","Subject 14","Subject 15","Subject 16","Subject 17"
"point0",0,0,0,0,0,0,0,0,0,0,56.7435817831291,0,0,0,0,19.9990113587222,0.141357131337012
"point1",0,0.0722072546854672,0,0,0,0,0,0,0,0,22.2780776609772,0,0,0,0,6.85161363544463,0.387796453565762
"point2",0,0,0.0282888864359285,0.0136148675628202,0,0,0,0,0,0,14.0816677418653,0,0,0,0,6.71947301078442,0.0278667115271448
"point3",0,0,0,0.0679016832152617,0,0,0.0465110493899663,0,0,0,15.5929441830908,0,0,0,0,19.4233296205182,0.66470413853131
"point4",0,0.0983262026758184,0,0.145923031476497,0,0,0,0,0,0,20.1655042326831,0,0,0,0,8.94422061494904,0.3812164827819
"point5",94.2543562747089,0.0438756687676377,0.0425153955925819,0,0,0.0944906697197391,0,0,0,0,9.5630006843902,0,0,0,0,21.2805518675425,0.178145041647494
"point6",12.7531860386057,0,0,0,0,24.4498222080249,4.53251016432652,0,0,0,7.54180643108937,0.32721855491382,0,0,0,10.5692059763019,0
"point7",20.8621094830075,0.055954793185612,0,0,13.603220276222,10.3565097702507,54.2370893741886,0,0,0,10.2853165976627,21.7931629788181,0,0,0,3.01768703438778,0.439699936456382
"point8",10.7054605089588,2.73162324235036,0,0,23.7673993488739,2.96079370700994,44.5379371497938,3.47497235669214,0.157766336445576,0,4.16949059800444,50.0418166911744,5.46554617651844,0,0,5.02737492203425,17.1312375966863
"point9",10.0229709086292,2.20851772205264,1.81502672852862,0.199149344196407,18.2690979649695,1.17857679110556,18.2015682268542,12.6148147213846,0,7.0744984070923,5.62407589995897,115.512314819237,51.3489712350883,0,0,6.60348814176494,25.0006568057856
"point10",7.45899774079719,0.160588134895128,0,0.164462028423718,8.91962421914639,0,13.003736187008,11.595735615595,0,9.77911074053861,3.25911840027911,15.3453305770296,22.0916211486305,0,5.08117933405985,3.48109384228132,0.27954355116419
"point11",7.41971451134812,0,0.0468953299181408,0.250318100350137,8.46351646260407,1.1743347362265,10.0285000779263,12.2551812998557,0,13.1630306948428,6.51185343728301,8.83500377413328,18.2281299449735,0,10.1731528140796,0.998731130445601,29.4809158618841
"point12",6.54956402900826,0.126012085255743,0,0,12.1784744067788,1.73464065064574,11.3607880876494,7.36247172572977,0,8.98834947577476,8.22149665294613,8.10307774821117,9.90806422924005,0,7.51213793091634,12.2842165288002,14.2690275578109
"point13",8.86517392109106,1.02230514351481,0,0.155856740338948,10.8368676805705,1.06944173160128,9.07781022900611,5.49671222784503,0,8.34171246866849,5.52422353055835,8.82240947338574,8.3291368126911,0.144811004788623,7.21676466477606,4.9178401302843,8.38315827547701
"point14",11.2202280438727,1.01542363916329,7.38062617598214,0.0548782954683955,11.4594204923356,2.25561277373101,10.7280469218065,15.2184665359122,0.0795624285523055,7.97033905076554,5.55241984959057,8.96839205572742,9.29587302279551,0,7.54364269827764,12.3100428354329,25.5006580622143
"point15",19.8214651904639,1.18975640058904,81.4780274085675,0.160733296613534,11.2999324216056,5.1032604971661,11.930656886865,5.12003447290561,0.182968478104165,12.6165863467114,6.16279221709204,7.46297095603908,7.94552416656169,0,6.78434004277724,6.00621828952527,25.9285178931105
