"from_symbol","to_symbol","combined_score"
"CD74","RPLP1",0.94
"CD74","POLR2B",0.77
"CD74","MRPL33",0.967
"CD74","QARS1",0.706
"CD74","MED1",0.937
"CD74","HEATR1",0.791
"CD74","MRPL12",0.971
"CD74","RPL8",0.98
"CD74","MRPL17",0.971
"CD74","RPS2",0.981
"CD74","EIF1B",0.81
"CD74","RPL24",0.975
"CD74","RPL37A",0.972
"CD74","UBA52",0.973
"CD74","RPS6",0.978
"CD74","EIF5",0.84
"CD74","TUFM",0.972
"CD74","RPS27L",0.934
"CD74","MRPS12",0.888
"CD74","MRPL11",0.774
"CD74","RPS21",0.979
"CD74","IMP3",0.938
"CD74","NOC4L",0.812
"CD74","EIF3A",0.746
"CD74","RPL13",0.976
"CD74","MIF",0.999
"CD74","MRPL2",0.836
"CD74","MRPL4",0.835
"CD74","MRTO4",0.888
"CD74","RPL23",0.981
"CD74","RPS19",0.985
"CD74","MRPS16",0.97
"CD74","RPL15",0.977
"CD74","MRPL49",0.769
"CD74","RPL19",0.978
"CD74","RPS16",0.981
"CD74","RPL5",0.982
"CD74","SIL1",0.774
"CD74","BYSL",0.837
"CD74","RPL10",0.93
"CD74","NGDN",0.79
"CD74","ATP5F1C",0.839
"CD74","MRPL3",0.836
"CD74","POLR2F",0.85
"CD74","SERBP1",0.832
"CD74","KRR1",0.844
"CD74","RPL12",0.977
"CD74","SNU13",0.872
"CD74","POLR3B",0.778
"CD74","RCL1",0.781
"CD74","RRP7A",0.778
"CD74","CCL5",0.713
"CD74","IFI35",0.94
"CD74","RPS9",0.982
"CD74","HMGN4",0.817
"CD74","ATP5F1A",0.865
"CD74","MRPS35",0.827
"CD74","ARL6IP1",0.853
"CD74","RPL38",0.981
"CD74","RPL13A",0.943
"CD74","RPL10L",0.93
"CD74","EPRS1",0.845
"CD74","APP",0.985
"CD74","RPS23",0.979
"CD74","UTP3",0.785
"CD74","MRPL20",0.959
"CD74","RRP9",0.79
"CD74","DAP3",0.793
"CD74","PDCD11",0.967
"CD74","RPL22",0.905
"CD74","MRPL40",0.792
"CD74","EIF3K",0.717
"CD74","RPL27",0.979
"CD74","GCN1",0.787
"CD74","POLR1B",0.78
"CD74","DNTTIP2",0.781
"CD74","EFL1",0.806
"CD74","EIF1AY",0.942
"CD74","MTIF2",0.842
"CD74","UTP20",0.792
"CD74","MRPL16",0.776
"CD74","EIF5A",0.766
"CD74","MRPL24",0.836
"CD74","UTP11",0.766
"CD74","RPS3",0.983
"CD74","RPL3L",0.934
"CD74","RPS4Y1",0.864
"CD74","RIOK2",0.768
"CD74","MRNIP",0.909
"CD74","RPS11",0.981
"CD74","HSPBP1",0.774
"CD74","MRPL34",0.772
"CD74","DOCK4",0.909
"CD74","EIF2S2",0.8
"CD74","EIF5B",0.908
"CD74","MPHOSPH10",0.829
"CD74","MRPL9",0.968
"CD74","RPL3",0.937
"CD74","NOL6",0.792
"CD74","RPL37",0.975
"CD74","NOL10",0.781
"CD74","ABCE1",0.761
"CD74","MRPL58",0.816
"CD74","MRPL19",0.969
"CD74","FCF1",0.789
"CD74","EIF1AX",0.934
"CD74","EEF2",0.945
"CD74","TSFM",0.73
"CD74","UTP18",0.796
"CD74","EIF3D",0.701
"CD74","WDR3",0.824
"CD74","IMP4",0.771
"CD74","NAT10",0.794
"CD74","RPL39L",0.931
"CD74","RPL14",0.981
"CD74","EIF2S1",0.868
"CD74","MRPL46",0.821
"CD74","SEC61A2",0.853
"CD74","MRPS14",0.835
"CD74","RPL36AL",0.838
"CD74","FANCE",0.931
"CD74","MRPS7",0.845
"CD74","MRPS15",0.827
"CD74","HMGN1",0.817
"CPA1","CPA3",0.922
"SYPL1","VAMP2",0.821
"RANBP9","MPHOSPH8",0.943
"RANBP9","NTRK1",0.725
"RANBP9","DDX5",0.709
"RANBP9","MKLN1",0.998
"CD4","IFNGR1",0.739
"CD4","SKP1",0.95
"CD4","IFNB1",0.845
"CD4","LCP2",0.891
"CD4","TFRC",0.88
"CD4","TNFRSF1A",0.797
"CD4","CD19",0.936
"CD4","CCR5",0.999
"CD4","IL10",0.976
"CD4","CXCL8",0.861
"CD4","CD34",0.886
"CD4","IFNG",0.991
