""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"ACSL5",8.223580232,8.366059788,8.023498589,8.215451116,8.218391097,7.575829715,8.147262153,8.29579471,8.486311348,8.510880697,8.371103794,8.394290477,8.548235229,8.302632965,8.414757806,8.336800396
"EMCN",3.599876458,3.887981841,4.306912326,4.048617947,3.655852424,3.773515814,3.665374557,3.645462168,3.738105803,3.907284674,4.169190387,3.765802183,3.682722867,3.548785352,3.804147023,3.933969684
"CYB5R1",9.575162594,9.625066689,9.404450462,9.612767392,9.712201022,9.184685773,9.149303186,9.404577755,9.366666713,9.540170058,9.680272488,9.518075841,9.748268915,9.44992594,9.3699871,9.659732112
"PDPK1",9.278942744,9.123492018,9.523381288,9.154246857,9.227636388,8.662888015,9.36406297,9.022302087,9.230800266,9.113404599,9.343212372,9.506073917,8.94131561,9.203644909,9.253808772,9.055813277
"ZNF44",4.180054489,4.207917022,4.159608346,4.391108067,4.401822226,3.744708529,4.302905886,4.091143729,4.016688897,4.069381881,4.314387953,4.114638402,4.00623663,4.347270183,4.282708872,4.046444944
"SELENOT",9.307355887,9.473257599,9.577671536,9.816802256,10.23697708,10.03450813,9.575490535,10.04246524,10.03102462,9.917764964,9.750646002,9.277972429,9.869474458,9.880303849,10.06832422,9.910748143
"RAB23",3.807814618,4.015469151,4.104185524,4.126422845,3.857514707,4.735836952,4.219783324,4.124747603,3.9891434,4.270597896,3.989871453,4.101587647,3.976521514,3.991829033,4.093987323,3.954453731
"CAB39",10.75766814,10.94319972,10.83058558,11.00236587,10.75646145,10.40373552,10.76563796,10.47396601,10.60921441,10.69934822,10.50753766,10.52617078,10.83290815,10.55153085,10.57970157,10.55731868
"UIMC1",9.853062427,10.20886408,10.06938324,10.17547839,9.918103898,9.725243083,10.2291288,10.04606261,9.962261186,9.92848662,9.861953986,9.807495686,9.98916095,9.942343145,9.922030969,9.72288386
"FBXO40",5.170161486,5.091234993,5.285024485,4.950797791,5.202556883,5.008772217,5.302044425,4.956771359,4.957666307,5.093865481,5.334567171,5.297697773,5.215105183,5.091693907,5.048879045,4.999560521
