""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"MAP3K5",10.53494256,10.19767732,10.11722625,9.959214259,10.27427095,10.41160631,10.34509781,10.17560413,10.27595918,10.28370917,10.36260046,10.22563734,10.28160978,10.39142664,10.15523578,10.35824078
"RAB8A",10.87730985,11.04263364,10.99069475,10.86877422,10.91594763,10.78899417,10.82666552,11.02076452,10.93930971,11.11466506,10.87353048,10.71769195,10.78823315,10.88157299,10.66335464,11.0151418
"ARVCF",7.643513466,7.537305757,7.330358941,7.274269378,7.595660935,7.090445573,7.28498369,7.670118935,7.132659701,7.246990805,7.332345909,7.422670428,7.212786786,7.410908127,7.505124762,7.151043454
"MEN1",8.438824269,8.895423987,8.814891392,8.452042345,8.567197172,8.193088429,8.44277222,8.398928671,8.679297366,8.764154759,8.292234782,8.605575321,8.548859371,8.386687017,8.426021994,8.756619484
"MEOX1",5.129299966,5.290512417,5.419548758,5.458058765,5.254909284,5.747167001,5.287602477,5.258307216,5.419690534,5.238964755,5.42609324,5.249910545,5.275452673,5.097771166,5.28826323,5.536227244
"MEOX2",3.284376159,3.2870047,3.29222888,3.279761147,3.344149464,3.319506574,3.315649295,3.274854877,3.343567434,3.453889684,3.303508683,3.368607997,3.411857963,3.236806633,3.450326433,3.360709051
"MEP1A",4.698484017,4.502906741,4.592113204,4.367075031,4.195838555,4.129762588,4.427253612,4.475883517,4.397841358,4.21180763,4.292401397,4.394314966,4.492984923,4.279982127,4.377026673,4.575213024
"MEP1B",4.425895616,4.438827384,4.143610395,4.048148968,4.18979873,4.303442564,4.353578549,4.261598794,3.956581416,4.33555334,4.274567457,4.65894391,4.590031876,4.317402237,4.112019411,4.28365034
"MEST",5.838561773,5.791641769,6.188232786,6.071331298,5.786597665,6.440324713,6.355928684,6.014451876,6.414255619,6.288456264,6.326138411,6.099421367,6.376381412,6.354662392,6.100759772,6.532659819
"MET",4.360422859,4.268202049,4.168125905,4.209781725,4.248296381,4.039722499,4.109640166,4.358014474,4.004882768,4.082532972,4.14535561,4.294756964,4.025267421,4.120573851,4.245767104,4.255981253
"METTL1",6.432355985,6.664509433,6.430788338,6.262952921,6.380919142,6.641957467,6.29754086,6.730435662,6.401847629,6.527050509,6.399248012,6.615364809,6.695908484,6.45348505,6.339622084,6.652210999
"MFAP1",9.295476719,9.201915051,9.427706547,9.54510695,9.382825359,9.559453256,9.522034287,9.233948533,9.529039359,9.47266146,9.419199179,9.30415106,9.446106133,9.342683796,9.498134864,9.503004516
"MFAP2",5.942205982,5.47547476,5.799223909,5.770574104,5.867530797,5.766732169,5.803341372,6.340432577,5.806258374,5.955905558,5.783966103,5.789612224,6.087564093,5.698931993,5.963830757,5.97820023
"MFAP3",7.3968894,6.742204741,6.923379685,6.996852427,6.527382343,6.799775233,6.724712825,7.167708953,6.844821942,6.871427984,6.805101916,6.601736689,6.972566181,6.940939699,7.147799668,6.153280199
"MFAP4",4.862091795,4.711964095,4.408745977,4.528644111,4.845991681,4.4022511,4.512578022,4.782383836,4.580085915,4.610748575,4.528201282,4.952727521,4.667471321,4.734045979,4.731516998,4.687101599
"MFGE8",6.761922755,7.027665053,7.029196212,6.895431896,6.757122128,6.408595074,6.813603203,6.974008291,6.697661957,6.823328445,6.701891935,6.816694447,6.737849147,6.442808317,6.515578205,7.042540694
