"","TCGA-A6-2686-11A-01R-A32Z-07","TCGA-AA-3514-11A-01R-A32Z-07","TCGA-A6-5659-11A-01R-1653-07","TCGA-F4-6704-11A-01R-1839-07","TCGA-AZ-6600-11A-01R-1774-07","TCGA-AA-3663-11A-01R-1723-07","TCGA-A6-2684-11A-01R-A32Z-07","TCGA-A6-2675-11A-01R-1723-07","TCGA-A6-2679-11A-01R-A32Z-07","TCGA-A6-5667-11A-01R-1723-07","TCGA-A6-2671-11A-01R-A32Z-07","TCGA-AA-3520-11A-01R-A32Z-07","TCGA-AZ-6605-11A-01R-1839-07","TCGA-A6-5662-11A-01R-1653-07","TCGA-AZ-6598-11A-01R-1774-07","TCGA-AA-3534-11A-01R-A32Z-07","TCGA-A6-2683-11A-01R-A32Z-07","TCGA-AA-3660-11A-01R-1723-07","TCGA-AA-3531-11A-01R-A32Z-07","TCGA-AA-3516-11A-01R-A32Z-07","TCGA-A6-2682-11A-01R-A32Z-07","TCGA-AZ-6601-11A-01R-1774-07","TCGA-AA-3496-11A-01R-1839-07","TCGA-AA-3713-11A-01R-1723-07","TCGA-AA-3522-11A-01R-A32Z-07","TCGA-AA-3697-11A-01R-1723-07","TCGA-AA-3511-11A-01R-1839-07","TCGA-A6-2680-11A-01R-A32Z-07","TCGA-AA-3712-11A-01R-1723-07","TCGA-AZ-6603-11A-02R-1839-07","TCGA-A6-2678-11A-01R-A32Z-07","TCGA-AZ-6599-11A-01R-1774-07","TCGA-AA-3527-11A-01R-A32Z-07","TCGA-AA-3525-11A-01R-A32Z-07","TCGA-AA-3662-11A-01R-1723-07","TCGA-AA-3655-11A-01R-1723-07","TCGA-A6-5665-11A-01R-1653-07","TCGA-AA-3489-11A-01R-1839-07","TCGA-AA-3517-11A-01R-A32Z-07","TCGA-AA-3518-11A-01R-1672-07","TCGA-A6-2685-11A-01R-A32Z-07"
"NDUFV3",17.0967,16.1365,15.245,23.364,18.3997,18.8368,23.4347,23.5425,15.7174,20.9085,19.1627,19.0156,29.1699,12.9083,19.5661,18.1092,19.519,18.2216,12.2805,13.2482,20.0038,20.7723,22.8138,27.7807,19.731,22.2642,19.8528,16.6062,18.0925,24.7274,19.805,19.9642,17.801,16.3585,23.5799,28.398,12.2543,25.3502,14.0196,15.9515,19.9578
"PKNOX1",5.9536,6.3779,5.8451,8.7912,7.5106,7.7349,5.2383,11.5481,5.749,7.2425,6.8473,6.9738,14.4337,9.2141,5.9284,6.914,7.1571,6.4474,6.1544,5.0091,6.9471,8.3591,10.004,7.939,7.122,7.8684,9.605,5.2847,6.9522,8.6957,6.8405,7.1481,6.4448,6.4548,10.4822,9.4397,5.0087,10.223,6.0675,5.9677,7.5058
"RRP1B",15.6803,15.7506,12.8355,23.8378,25.2533,17.7136,12.0761,20.7079,16.3064,18.7589,15.5012,17.4825,22.5322,14.7467,16.9516,17.6451,18.752,11.9299,9.6954,9.7232,16.828,21.3715,19.4402,12.3364,19.4708,19.7907,22.0603,11.0173,16.2761,23.2522,17.6721,21.1359,14.9208,15.2755,20.3804,16.2759,11.5494,14.1281,16.6338,15.4498,17.6492
"PDXK",42.6597,33.6931,30.7238,25.2501,35.2683,30.8192,35.2189,31.033,42.2457,53.6714,48.3624,48.7541,16.9795,26.1645,32.7789,42.8777,37.4096,30.6431,32.5391,38.0059,45.0715,31.8868,26.3616,26.7063,52.843,33.2025,36.8073,68.3743,41.0376,39.5598,41.7149,34.6914,43.4328,32.2931,34.4602,29.3448,39.649,15.6658,42.3234,36.1536,44.7752
"G6PD",24.3292,32.3389,16.2616,34.104,22.3114,27.7787,25.3497,26.5717,30.2647,28.818,27.2418,25.0298,27.87,21.5939,27.5312,29.0013,26.4124,21.3941,24.0248,20.5737,28.049,27.566,27.7187,19.8411,26.2687,36.5136,28.5568,20.5359,21.5194,39.5265,24.6152,35.636,30.3337,27.6143,23.5392,26.3766,19.6514,24.5092,24.5071,22.3897,33.1585
"CSTB",151.2955,134.6719,147.2219,148.2584,119.2001,103.781,151.87,70.786,143.2195,78.2162,102.0849,109.2074,77.7628,104.1045,71.6343,108.2495,115.16,128.1857,111.904,117.7469,119.2828,82.2327,112.3065,256.4097,152.606,161.1344,97.3373,69.9885,86.9876,135.1822,109.1617,108.2439,116.234,149.6928,116.5429,125.6556,175.5144,126.4217,118.8622,113.5387,131.5682
"RRP1",12.2569,14.0044,10.3598,19.3461,22.3542,12.8839,13.1526,16.4494,13.2441,15.3775,14.5677,13.0662,11.7924,10.7548,16.1759,14.5674,12.7758,11.3695,7.9169,7.027,16.827,16.5056,15.5614,19.4112,14.6566,19.46,16.0106,9.0431,12.107,18.6271,13.5214,15.4535,12.2852,13.3954,14.9272,15.3602,10.3902,14.8148,13.4303,12.368,15.3477
"AGPAT3",35.2726,35.426,29.6444,26.4819,29.3258,32.5251,36.2853,30.1454,31.1511,36.104,38.1122,37.3857,23.3432,28.7191,27.8974,35.0355,34.8814,28.3277,33.5022,35.0144,35.2428,34.1853,28.4687,19.5583,36.9987,24.9749,33.2465,55.0205,31.5312,29.914,38.8024,37.0285,38.402,31.4777,33.8975,27.2533,36.8855,19.3875,35.4063,35.7318,38.6303
"TRAPPC10",10.6799,12.7433,7.5225,12.1216,10.2332,7.6921,8.1425,10.4215,9.3356,13.8331,9.1095,11.5869,5.5199,6.1447,7.9109,10.5661,9.1711,7.5432,9.7185,9.5337,9.7398,10.4393,8.0966,8.253,13.7125,8.7976,14.248,8.5961,12.3911,9.1427,11.3223,10.8899,10.5784,9.9197,9.1112,7.9026,11.7304,6.6162,8.7079,9.0848,12.1296
"GAB3",1.7366,1.6025,1.7667,1.8603,1.4572,2.4203,1.4854,1.7362,3.8206,2.2579,1.3979,1.8651,2.3133,2.1409,1.9441,3.1418,2.2024,2.0288,1.1706,1.6519,1.5589,1.8873,2.4356,2.429,2.3835,2.7185,2.9243,2.0859,3.3899,4.3416,2.6494,2.21,1.8011,4.0352,3.0687,2.5069,1.5998,2.3334,2.5957,1.9061,2.0236
