"","TCGA-A6-2686-11A-01R-A32Z-07","TCGA-AA-3514-11A-01R-A32Z-07","TCGA-A6-5659-11A-01R-1653-07","TCGA-F4-6704-11A-01R-1839-07","TCGA-AZ-6600-11A-01R-1774-07","TCGA-AA-3663-11A-01R-1723-07","TCGA-A6-2684-11A-01R-A32Z-07","TCGA-A6-2675-11A-01R-1723-07","TCGA-A6-2679-11A-01R-A32Z-07","TCGA-A6-5667-11A-01R-1723-07","TCGA-A6-2671-11A-01R-A32Z-07","TCGA-AA-3520-11A-01R-A32Z-07","TCGA-AZ-6605-11A-01R-1839-07","TCGA-A6-5662-11A-01R-1653-07","TCGA-AZ-6598-11A-01R-1774-07","TCGA-AA-3534-11A-01R-A32Z-07","TCGA-A6-2683-11A-01R-A32Z-07","TCGA-AA-3660-11A-01R-1723-07","TCGA-AA-3531-11A-01R-A32Z-07","TCGA-AA-3516-11A-01R-A32Z-07","TCGA-A6-2682-11A-01R-A32Z-07","TCGA-AZ-6601-11A-01R-1774-07","TCGA-AA-3496-11A-01R-1839-07","TCGA-AA-3713-11A-01R-1723-07","TCGA-AA-3522-11A-01R-A32Z-07","TCGA-AA-3697-11A-01R-1723-07","TCGA-AA-3511-11A-01R-1839-07","TCGA-A6-2680-11A-01R-A32Z-07","TCGA-AA-3712-11A-01R-1723-07","TCGA-AZ-6603-11A-02R-1839-07","TCGA-A6-2678-11A-01R-A32Z-07","TCGA-AZ-6599-11A-01R-1774-07","TCGA-AA-3527-11A-01R-A32Z-07","TCGA-AA-3525-11A-01R-A32Z-07","TCGA-AA-3662-11A-01R-1723-07","TCGA-AA-3655-11A-01R-1723-07","TCGA-A6-5665-11A-01R-1653-07","TCGA-AA-3489-11A-01R-1839-07","TCGA-AA-3517-11A-01R-A32Z-07","TCGA-AA-3518-11A-01R-1672-07","TCGA-A6-2685-11A-01R-A32Z-07"
"TSPAN6",45.977,108.4972,71.4214,72.0925,70.4172,51.8671,64.3955,44.9741,54.7945,85.1339,63.9548,53.5405,15.6257,65.0412,70.5755,58.5908,87.6204,83.4149,62.7209,52.3857,71.3061,63.2273,62.126,69.3088,60.5506,75.1865,75.0922,36.3343,62.3838,59.2916,89.9504,106.6104,83.1777,30.5298,140.0038,115.2235,50.6013,115.4721,69.3069,87.0863,72.2832
"TNMD",1.6419,3.1672,2.675,3.4023,1.1723,2.2749,1.6325,0.7625,1.9127,1.8923,0.9383,1.2938,0.9658,2.0327,2.1611,2.0723,2.3156,1.8525,1.0035,1.4369,2.0719,0.963,2.6409,3.7531,2.2761,0.8933,0.8067,0.7005,1.0268,1.6765,2.1107,0.6298,1.8218,0.6713,1.8741,1.452,1.7354,1.6774,2.2431,1.86,3.051
"DPM1",60.8299,68.5945,69.8698,98.0925,63.1909,60.6461,54.1263,56.5666,51.548,64.7924,55.2409,61.706,53.3423,78.5964,54.6746,52.1185,61.559,88.8137,55.9364,45.1985,60.4515,48.7645,88.4315,137.148,66.3684,94.803,70.5636,65.1003,60.4812,70.3447,62.205,60.0744,62.6221,60.3606,85.9778,99.85,51.5522,125.8912,54.2195,49.6967,68.4001
"SCYL3",6.4616,6.2189,5.5893,6.2059,4.0926,5.6372,5.9352,4.9597,5.4426,7.2945,5.3681,6.5999,5.005,5.3345,5.037,6.5486,6.1423,7.6995,5.9416,6.6017,6.2133,6.5707,6.9292,7.9645,7.4673,5.8553,8.0035,5.0662,9.2848,5.6623,7.3702,5.6905,6.2446,6.1477,10.5831,7.8363,6.0812,9.4869,6.1088,5.5164,7.594
"C1orf112",2.1575,3.085,1.1532,4.1366,1.6926,2.0123,1.2934,1.7218,1.7461,1.8714,1.1185,1.7015,1.3531,1.6752,2.1285,1.7014,2.2037,2.1822,1.1647,0.7785,1.7048,2.2835,2.3237,2.6511,2.7991,3.5338,2.6454,0.74,1.7559,2.3315,1.7569,2.6575,1.7524,1.8549,1.8534,2.2138,1.0988,2.7474,1.485,1.0586,3.3315
"FGR",4.2729,7.4441,4.0412,9.4508,4.9934,8.2737,3.5623,5.7015,5.9878,4.5618,2.8373,4.0849,4.1915,10.371,6.3393,8.0716,2.6026,7.0384,4.9512,2.2148,5.4819,5.4064,9.7969,5.9987,3.6252,13.7303,6.8749,3.1543,6.7033,15.6165,4.5905,4.5079,3.9133,6.8762,7.4109,4.9218,3.1588,15.0527,4.5249,3.2011,2.7423
"CFH",14.9765,18.3082,9.6292,33.1459,22.8885,19.7297,10.0602,27.2284,22.2882,15.0917,13.8781,16.6908,13.1393,22.093,18.7215,17.1114,21.0157,21.7171,13.0182,5.6885,12.6524,20.0223,23.576,12.4681,13.1768,21.2431,22.2648,13.439,21.7541,28.7993,23.4307,34.9401,14.8948,12.935,44.3915,25.2546,10.9994,27.9805,15.0603,13.8327,15.4313
"FUCA2",57.2833,57.7193,53.8487,63.1631,50.3269,42.2269,51.7149,42.6987,48.7318,50.3348,56.9996,55.3764,27.3613,42.046,42.9897,51.414,50.6846,59.8153,50.7651,47.5542,50.8818,46.6595,47.1265,51.4961,52.7995,63.8899,54.321,46.8454,52.4306,47.4326,54.2971,51.6086,59.7916,50.8076,66.5965,53.0609,51.0724,53.1871,51.3992,43.1357,68.4464
"GCLC",11.691,13.4368,13.1572,14.6159,9.9505,14.0005,9.9636,14.3736,12.3917,13.9513,10.5147,13.3712,16.3477,14.2903,11.1646,13.8958,12.066,11.627,8.7461,8.8645,10.1133,10.3233,19.1833,12.8056,14.7378,11.0559,13.5044,13.8183,13.6734,13.5221,13.7852,11.0458,12.7439,10.9562,16.3117,12.9732,12.2149,13.7086,9.6469,11.2459,11.4025
"NFYA",15.7447,18.7396,15.0093,23.4865,18.3608,17.9936,16.5535,15.1199,13.8045,21.2536,12.9919,18.605,12.198,18.1821,16.0951,18.8994,22.8014,17.6832,15.2113,10.4551,20.6755,20.2931,18.1402,14.4601,21.5808,17.2842,23.845,10.7407,21.6906,19.2153,20.5732,22.165,18.4332,15.4772,24.1731,19.0269,17.0814,18.2914,17.2686,14.8018,22.2682
"NIPAL3",18.5228,22.1368,16.8302,16.9458,14.2976,18.1541,20.0955,20.1306,15.4335,23.7805,21.8466,20.4243,31.7414,20.9531,15.4883,18.906,20.8981,19.069,17.3442,20.4536,18.7197,22.6503,23.4395,10.704,23.0043,15.113,20.4102,24.3329,18.9462,22.2783,21.4138,20.3019,21.5664,16.2769,20.0016,17.9284,17.1476,13.5452,19.4268,20.0891,25.9718
"LAS1L",5.9302,7.5141,4.6447,10.6679,7.9493,6.6743,6.1849,8.5636,6.413,8.0404,6.2799,6.9776,8.5406,7.6527,7.2471,6.955,7.0182,5.7071,4.2142,3.7019,6.4929,8.4035,8.9581,6.4406,7.5308,9.146,9.5741,5.1057,5.8598,9.0539,6.8322,7.3155,6.8067,5.9097,7.6247,7.5053,4.4535,8.3684,6.4167,5.7844,8.0105
"ENPP4",21.3957,33.3397,31.1088,29.2604,21.2077,17.1119,18.4543,21.8429,16.8464,23.7563,22.5905,20.5262,22.7655,24.9346,16.5974,22.854,21.0504,28.3301,28.6068,24.6315,17.8107,24.0266,31.9206,26.707,19.8707,30.1455,21.5247,17.1628,24.4765,21.2136,22.5181,25.2354,30.0184,19.0516,31.6239,28.8898,22.3177,37.9676,21.7359,20.5793,28.1093
"SEMA3F",7.1233,8.6829,5.3284,14.4947,11.3728,12.3074,8.1019,12.3285,8.7974,14.9784,12.2786,8.9836,14.3913,10.8352,12.7858,12.4251,9.0029,14.2141,6.6497,6.0121,9.5547,19.0775,11.7831,4.7255,9.2849,18.7095,19.0117,13.1559,16.3173,20.6539,12.2116,19.5066,11.3526,8.3211,26.2799,20.147,4.2072,12.745,8.2018,9.424,13.8523
"CFTR",60.8631,47.564,52.7889,73.0278,76.2708,45.9399,50.8122,43.1817,39.6567,77.1958,46.1692,62.8939,7.4318,40.3879,42.4141,50.4974,60.7724,54.5993,33.8594,24.4363,51.6426,71.257,40.5913,53.106,59.8776,42.7454,75.5812,15.7549,65.4552,25.5893,61.2512,77.2776,55.5593,59.0053,95.3169,70.8219,40.0529,47.6254,39.5244,48.934,74.2781
"ANKIB1",14.3887,14.9628,17.6474,19.9734,16.1953,16.1676,12.9178,20.9479,13.843,17.1628,14.9346,16.2441,22.8609,17.6533,15.2155,18.0192,16.8863,17.8708,12.9069,12.0672,14.0912,20.6794,21.3034,15.6268,18.4763,14.1982,20.848,18.012,20.5114,21.7259,19.2614,22.2265,17.2233,15.8154,23.7895,20.6517,15.6416,19.3394,13.6262,13.6912,19.0815
"CYP51A1",5.71,3.0802,1.2623,8.4544,2.7457,1.7761,3.0725,6.9097,5.2769,3.5804,2.9854,4.4328,1.1669,1.2145,2.0597,3.2708,4.8557,1.6863,3.9056,2.9665,3.8725,3.5334,2.9239,1.692,3.9193,2.4205,3.1433,3.1827,2.7736,4.7768,3.1192,9.2197,5.1789,3.105,2.6841,2.8948,2.0712,5.8755,3.6693,2.1137,7.6715
"KRIT1",1.7506,1.4889,2.2356,2.5045,1.718,2.0928,1.58,2.0196,1.5052,2.1438,1.4271,1.6963,2.3743,2.2223,2.124,2.0931,1.947,1.9962,1.4457,1.2074,1.7946,2.0516,2.3654,1.5307,2.2012,1.6541,2.1618,1.8104,2.1274,2.5801,2.0756,2.2976,1.5238,1.6535,2.9185,2.3261,1.3695,1.933,1.5179,1.2608,1.9615
"RAD52",7.2057,6.0787,6.475,7.0325,5.149,8.1362,7.5034,5.4818,5.4376,8.9937,5.9645,5.2516,6.1554,6.5518,9.6269,9.1382,7.2469,6.2149,7.1084,6.5135,5.1465,6.9875,7.0525,8.7071,8.5944,5.7163,6.7222,3.4023,15.3561,6.8347,10.0088,10.9552,7.371,6.1481,9.4938,6.4888,5.1194,5.7386,4.9097,5.5446,8.5242
"BAD",23.7006,19.8183,13.6923,23.7291,16.9788,22.5425,27.4449,19.1085,21.6468,26.9817,31.0735,21.7673,21.4211,17.3987,17.9409,23.5177,20.2023,34.1826,23.0766,19.4444,21.1499,17.8166,24.7687,29.0631,22.4797,22.2869,22.0524,19.0402,25.2894,18.2454,22.1617,24.2381,24.2545,22.9997,34.4035,43.6251,16.1304,29.1262,22.1838,20.0466,24.4508
"LAP3",61.7039,609.9312,62.0278,72.6918,87.0953,59.3984,59.1887,57.0296,121.3928,67.941,63.3803,76.2085,49.2317,57.9974,72.8631,61.7688,77.8914,66.4171,62.9913,78.123,64.1191,53.5307,90.779,80.0956,72.8414,89.8622,73.2517,66.4142,54.1067,164.3398,61.7869,79.7232,84.8402,103.8953,62.6306,79.2539,47.0243,263.1534,63.3969,66.1283,87.8575
"CD99",92.5844,77.643,83.8386,158.6105,144.735,151.6927,95.1845,158.088,95.2286,98.4227,143.4196,89.2524,250.6538,166.9858,143.1404,96.7149,86.6315,113.4933,66.0418,54.2915,103.4646,114.5752,149.6458,158.9438,116.9723,127.9796,132.3733,110.7552,108.4513,153.7009,106.5832,164.6947,99.1304,114.2049,137.695,205.2903,50.1279,193.42,100.6664,88.4261,100.8409
"HS3ST1",3.0724,2.265,2.7642,3.2103,4.2076,3.3922,4.1762,2.8256,3.4685,3.6671,3.7055,3.6561,1.2675,2.5077,1.7231,3.8191,2.9848,4.9646,4.3937,2.6279,3.644,2.859,3.1611,2.1578,4.4247,4.3334,3.9027,2.0543,2.684,2.1529,3.2823,2.709,3.7522,3.5668,4.0588,3.8627,3.0838,3.6421,4.2353,3.1421,3.3456
"AOC1",808.9916,665.4229,556.4449,403.5617,450.5529,429.9085,666.8724,473.0004,480.0796,686.9593,897.0709,633.5579,74.0476,418.9878,439.3146,671.6863,644.6328,511.0387,827.8429,955.2377,558.1646,530.8653,373.6489,380.1162,749.7495,555.1119,630.5362,1355.1916,635.8817,229.6759,719.1119,661.238,687.021,206.4887,563.3049,537.1008,468.5673,318.9539,540.2421,593.5607,617.106
"LASP1",204.5509,283.8363,152.4405,163.5198,137.3355,144.8074,181.5327,145.4241,190.6326,188.0111,218.5159,220.9374,64.5682,138.2266,142.2491,194.21,208.8454,154.8125,244.4325,243.691,182.7617,159.3493,147.1046,114.5605,215.0226,193.013,172.3481,339.7956,173.0731,156.9776,218.2906,195.3051,215.1087,186.2189,160.8117,153.1591,183.4035,95.3705,187.1357,200.0237,248.6043
"SNX11",21.1961,23.5209,14.6728,20.6132,15.2725,19.9498,19.1592,16.4471,18.1148,19.9839,17.9397,16.3001,20.3492,20.7927,16.4479,16.4355,17.4453,30.0427,20.8252,18.7679,19.9087,18.1962,26.8241,44.2825,22.5704,25.6611,21.2594,13.77,22.6745,22.0215,20.0634,14.0653,18.7863,21.1673,29.6521,38.5806,15.7657,36.1849,19.5191,18.1856,20.8965
"TMEM176A",145.9044,201.3797,117.691,104.8057,139.0207,205.2252,236.4809,103.0374,198.6328,162.2822,210.4265,146.952,40.428,120.3323,105.6363,192.1606,133.7512,177.6751,209.7961,173.98,139.3367,128.2517,104.4258,151.6008,177.9376,182.3391,137.1305,390.2486,174.6282,146.2715,153.6799,240.7137,224.1401,211.8314,230.428,230.5923,99.5766,219.7322,179.5516,157.5589,153.5053
"M6PR",41.3736,40.9573,34.142,65.0464,43.3225,50.4111,45.5506,45.0799,38.9053,50.4549,31.0436,48.8948,46.1022,42.1238,28.1953,53.2859,55.8693,41.4992,26.6022,25.0226,47.4366,45.3975,61.561,54.6234,43.8988,54.8176,63.5978,31.7234,49.1809,53.105,52.6042,46.5887,45.3902,43.8961,62.9914,58.0088,29.1368,69.2535,39.5466,35.3422,44.9962
"KLHL13",4.0746,1.6212,3.2331,4.7549,2.7058,4.0605,2.2742,4.6416,1.7027,3.0665,2.4367,2.473,7.8819,5.074,3.6693,2.2976,2.816,2.9943,2.0857,1.357,2.2786,3.4604,7.5523,2.8641,2.4493,2.7749,2.1629,3.9976,2.8758,3.909,3.6732,2.698,3.8688,2.5207,5.4979,3.8978,1.7356,5.296,2.6709,2.5147,2.5258
"CYP26B1",4.8145,2.4708,6.7426,5.3838,4.2783,4.5083,2.042,4.0843,1.494,9.2689,3.7874,4.0349,3.3004,6.1678,3.9519,2.7389,3.781,0.9621,1.69,2.3574,1.715,8.6446,3.6806,2.0657,5.7769,2.5378,2.8368,4.0295,3.6139,4.7337,6.8955,4.56,1.6504,1.5922,3.7943,1.5812,2.8776,1.7896,2.2152,3.801,3.207
"ICA1",17.4718,15.1446,18.4318,32.7285,20.2122,15.7701,19.1772,13.8441,11.4854,25.1674,14.3232,16.193,4.2492,17.9063,17.145,22.4682,26.7893,22.7932,16.1942,14.5176,24.4836,15.494,16.8344,21.0241,21.7396,24.9835,16.1459,10.7118,18.6487,18.8925,25.7225,20.6496,22.6982,20.0408,36.5822,24.8862,16.2613,22.9426,18.7585,20.0282,30.8066
"ALS2",2.9108,2.5846,2.6576,5.3602,2.7584,3.5243,2.3923,5.2185,3.3081,4.7336,2.7058,3.2388,5.9937,3.5861,3.5219,3.7819,3.4986,2.8352,2.1876,1.967,2.9618,3.8996,5.3381,2.7087,3.7829,4.295,4.8754,7.5639,4.5496,6.5193,4.4571,4.928,2.8579,2.8868,5.1236,4.4077,2.7711,4.3732,2.6538,2.5855,3.4925
"CASP10",17.7479,58.3578,22.6491,17.3556,24.5496,14.3605,30.2232,26.8107,33.2941,17.3334,23.5406,27.0078,5.5365,15.6138,17.4513,21.1332,19.4662,20.7597,43.1942,37.1954,18.2788,24.3402,22.2611,16.9676,22.0429,49.4107,18.5178,13.1235,24.3818,27.7956,17.2051,26.3478,45.2737,33.6743,19.2506,20.1758,24.3186,45.6901,21.671,16.5286,40.7394
"CFLAR",10.5833,15.1711,11.953,17.7959,11.7247,10.672,10.8017,15.4369,13.3031,17.4778,11.1142,11.6751,11.3194,13.3502,14.3762,13.0476,11.5532,9.7415,11.5143,13.2446,12.4884,13.227,11.9549,8.1194,13.8197,13.3049,14.4279,13.2149,16.5634,18.0256,15.0626,15.1358,11.6275,12.0956,14.3008,9.9664,14.1322,10.938,10.5013,9.7751,14.004
"TFPI",4.4059,1.9809,2.7397,7.5402,9.0281,5.2679,2.1504,6.1873,3.6893,4.8482,4.0916,4.2492,10.7087,9.7206,5.6917,3.9267,5.5476,4.0436,2.7501,1.9915,3.1328,5.2894,13.614,4.2254,3.6986,6.6363,4.3871,9.5884,4.027,12.4369,7.8368,10.1685,3.7123,2.9754,10.555,4.6411,2.9333,6.4528,4.4373,4.3999,3.3409
"NDUFAF7",6.0232,5.2759,6.1282,10.3241,6.0852,7.2553,6.1796,7.7885,5.0857,7.905,5.6088,5.9207,11.084,8.609,7.7056,6.4652,7.0273,7.4449,4.3385,4.2269,5.9287,6.6538,10.6138,10.3055,7.5407,6.3907,8.3253,5.4319,7.1953,9.0862,6.8975,6.2127,6.4098,6.7847,9.069,10.3902,5.4585,13.0748,5.6424,4.5827,7.1362
"RBM5",11.1666,11.4145,13.6655,16.8394,13.6593,14.8702,11.4578,13.9017,12.2402,19.1083,8.4722,12.1932,17.9307,14.1325,17.4087,16.0094,12.9151,10.9094,10.4277,8.095,14.3068,18.0221,15.5195,9.5649,16.0841,11.1811,17.6511,10.7177,24.2733,19.6661,16.6494,15.9648,10.3972,12.4368,20.8247,13.6713,14.4225,11.0483,11.3517,9.4777,13.0336
"SLC7A2",1.5783,0.7909,1.1014,5.0673,6.5228,2.3693,0.859,4.0053,2.3969,3.3145,1.8646,1.799,7.0528,3.9671,7.6999,1.8617,2.5112,1.9838,1.2543,0.7877,1.3903,3.539,7.9477,1.4834,1.8987,2.6325,5.2563,2.1759,3.4031,5.3998,4.0265,6.9853,1.2597,0.8184,14.623,3.1992,1.7466,3.7779,1.8288,2.9356,2.6449
"ARF5",141.4973,127.0875,102.7377,151.2141,131.3317,128.9555,179.0176,114.7833,139.7308,146.4829,164.5687,146.8554,103.8408,117.4667,127.7925,154.7971,137.9685,207.8106,123.7889,126.2969,151.0734,109.7113,162.8308,246.0994,153.701,158.2574,147.1143,148.2218,144.0847,136.5209,146.0971,140.0107,144.4854,143.4271,204.349,247.3971,105.3662,203.8275,132.0276,129.428,175.3697
"SARM1",1.1477,0.9434,0.8843,1.5641,1.1779,1.8344,1.0701,1.7229,1.2027,2.072,1.1402,1.2587,2.2464,1.0421,1.6481,1.4967,1.0371,1.1442,0.7187,0.7558,1.321,1.8443,1.466,0.8422,1.768,1.1719,1.7438,1.6801,1.8766,1.8174,1.7627,1.691,1.468,1.0864,2.0758,1.3445,1.1364,0.8639,1.3184,1.3574,1.2793
"POLDIP2",127.1902,138.928,88.3858,166.5543,122.3519,131.1257,128.8639,115.0436,113.7078,139.8001,121.3968,118.3208,127.7177,113.7343,115.9624,114.6477,122.4483,133.0673,94.3818,89.0982,119.3685,114.5055,151.1028,169.9654,131.0404,158.4579,130.5299,111.5038,111.3986,132.2685,121.7383,134.0917,122.9291,107.422,138.1384,169.984,85.591,155.5473,100.384,115.5499,145.3686
"PLXND1",13.6369,9.0049,7.5318,18.9229,14.7809,23.056,9.1336,23.4891,18.4798,17.4862,14.8952,16.2921,26.1271,17.244,15.9934,22.7603,13.6974,11.1326,10.2157,6.8982,13.6645,20.4096,24.0163,6.1952,15.3533,23.8983,19.2794,9.4069,18.8847,57.909,23.2045,36.658,14.9868,12.4472,23.7783,10.8913,10.5898,10.1598,14.7846,16.1626,12.4306
"AK2",43.7504,54.1688,42.2525,52.1997,41.4983,39.1345,44.8333,31.0793,37.4317,41.6275,33.5165,42.1943,25.3912,31.5353,38.264,37.8477,47.0136,42.5363,34.7095,28.0212,39.562,37.0067,43.2266,80.7166,42.6338,52.0987,42.2779,51.0283,40.0483,37.2942,41.965,44.0419,41.0983,40.5719,44.3379,51.5109,38.4577,67.2237,34.3632,33.1033,45.5501
"CD38",2.7947,9.3638,5.3152,1.258,7.984,4.1678,3.2664,1.3787,9.0341,3.3459,3.6428,4.2783,0.5544,2.2503,2.3793,6.5902,3.8441,2.2049,2.61,3.422,5.0382,3.3355,3.3941,4.7527,4.4986,5.6266,9.7795,2.3782,5.4152,7.7587,3.5666,3.6875,5.2879,11.3474,3.5941,3.5423,2.8608,5.9462,4.5279,2.7649,4.5815
"FKBP4",68.7046,60.7402,48.414,98.9712,58.0585,77.6092,67.8606,71.0758,46.8258,64.9547,57.0503,76.2437,42.1352,59.8267,51.9373,60.5969,93.4022,62.553,44.7845,37.555,67.9959,69.2266,66.4613,83.0471,57.5325,81.29,75.004,43.6001,62.5502,58.3966,62.9961,60.3777,64.9226,43.3604,91.2608,74.6638,42.0725,62.9374,65.557,53.3346,73.7847
"KDM1A",32.7516,36.6301,27.5246,49.8276,36.0308,37.8575,30.4913,39.8451,31.4773,38.1154,31.3052,34.3508,39.0435,36.558,32.5574,37.4816,41.4486,34.9023,19.1798,16.1832,33.1496,39.2286,43.5407,33.7491,38.5542,41.2574,44.5611,27.5406,36.1368,42.2461,39.9353,45.7401,34.168,34.7777,52.5292,47.1188,20.3154,37.2902,29.6793,29.5753,43.8634
"CAMKK1",2.1434,2.1747,1.9205,5.4129,4.1436,4.3468,1.7976,5.0672,3.0824,3.7844,3.0611,2.6184,12.5934,2.8351,4.404,2.935,2.2109,2.7913,1.6163,2.0337,2.835,3.8941,7.8817,3.0101,2.571,6.2473,3.4653,2.2002,4.0355,6.3356,3.2972,3.8604,2.6228,2.666,4.0373,3.2678,2.2105,3.3932,1.8509,2.46,3.6278
"RECQL",6.7455,11.9679,6.3225,16.8065,8.0219,9.4975,6.2166,12.7662,9.1803,9.309,6.9764,9.4296,21.4172,9.9053,7.7213,8.6134,9.4034,6.7459,5.6069,5.3494,8.2062,12.5491,17.1107,9.0617,10.6336,10.8922,12.8527,6.7154,8.0211,16.3291,9.7142,11.0533,9.6393,8.2206,11.2462,11.5128,5.3728,18.3849,9.053,6.0038,10.2424
"VPS50",7.4602,7.9307,7.149,9.6418,5.8141,7.6655,6.1298,7.5821,6.0545,7.6108,5.5212,7.8,8.5746,9.3638,6.2636,7.3779,9.0219,7.5548,5.7072,4.5459,7.0133,8.131,9.535,7.797,8.4852,7.7785,8.4969,4.641,8.0531,8.1381,8.338,8.0653,7.7402,6.6705,9.7514,8.9907,5.6467,8.9355,6.446,5.8633,8.8162
"HSPB6",13.927,8.2,8.6324,98.6962,23.8066,138.5013,7.5599,114.9363,12.5967,15.4293,67.8248,9.1211,463.2624,66.1728,57.2662,10.3776,7.4139,8.2098,10.93,33.7904,5.6542,52.9914,89.4436,15.3564,7.643,21.2819,7.743,72.1012,8.1318,93.1614,24.998,28.6145,23.9076,3.7526,31.3614,66.0943,9.6029,66.1487,10.6689,13.5508,26.9292
"NDUFAB1",140.3477,150.9202,116.2166,157.2812,135.2044,138.3414,142.5992,90.1505,122.4722,114.3136,127.3953,132.5801,115.6693,120.0276,123.4329,114.4565,128.2985,170.7598,93.2091,78.1211,120.3222,100.0437,150.7895,267.2714,117.0824,167.5777,112.2252,136.3409,115.3253,115.4425,106.2285,122.8674,127.8633,123.1198,151.4046,203.982,97.4231,212.2122,111.4046,88.7419,156.9849
"PDK4",43.585,53.1739,164.8936,694.9778,59.2504,155.3438,40.9627,98.0621,49.5843,83.4766,79.9851,47.5356,133.2204,267.2213,375.5595,55.4268,88.6408,43.3595,39.9929,43.8824,63.4831,49.9639,392.1831,75.7572,35.9208,51.9537,52.6444,150.5007,106.6343,119.1912,149.3144,29.896,74.608,50.1778,125.8849,88.9382,107.9674,68.3099,62.6355,61.9338,39.6292
"SLC25A13",47.1046,42.7654,38.3947,40.4487,35.5013,30.5107,29.1225,25.7038,32.4141,37.5162,34.024,41.6071,11.6762,30.307,33.292,18.0606,43.1088,26.8568,31.5613,30.869,34.9551,33.8544,29.4499,43.6497,41.7847,49.123,35.5925,25.7144,34.979,26.4082,47.6129,39.2058,37.8588,31.3415,38.1844,32.3116,37.0294,21.3544,28.1896,32.2665,36.3419
"CDC27",12.6337,24.6121,14.7172,21.783,15.1122,16.0192,12.1657,17.3718,13.8037,14.4519,11.8221,14.3976,24.3011,18.2775,15.3258,14.4451,15.9448,14.1298,12.2632,10.9503,13.2972,19.3713,23.7225,14.7172,14.2006,21.2041,18.1934,13.4085,14.6214,25.2018,15.7581,21.3695,16.2543,16.9113,19.0399,18.1112,10.7021,23.7637,13.9027,12.1225,17.0712
"HCCS",58.0762,77.8366,51.8514,50.3308,37.8996,50.4457,66.8217,32.887,46.089,47.2853,46.4228,58.1825,30.758,48.9954,40.3961,48.3281,52.6339,63.4288,67.3596,48.3207,47.1918,52.4483,53.0422,74.7972,53.0538,57.3283,42.0483,44.6084,46.6277,34.159,52.8986,45.8921,66.833,61.5678,52.9853,70.7081,49.7281,78.3256,51.6547,49.9425,66.9034
"DVL2",13.0984,12.9982,9.6464,18.5647,12.526,16.7297,14.7273,19.3599,12.7847,19.5089,15.1056,13.0503,26.7599,15.9222,15.4979,16.1067,14.3598,16.0354,11.1575,9.5149,13.9282,16.0156,21.5247,12.5198,17.277,14.6095,18.1265,11.9851,16.9831,20.3311,18.7553,21.6519,14.0945,13.451,22.5276,20.3807,9.1697,16.6921,15.1681,14.3493,18.9211
"UPF1",54.2126,56.2499,38.7458,70.2104,69.3087,51.0042,35.8029,53.2104,49.1685,57.8048,49.0185,54.889,53.1989,40.3713,50.5534,60.2239,55.5569,35.1298,46.1722,45.7448,61.4498,53.4552,45.7359,20.1483,60.2682,45.0642,59.7837,37.2761,50.1115,59.8744,57.2352,54.5355,55.1786,46.0808,55.0391,37.9574,44.8238,24.6733,49.6249,51.5639,56.2236
"SKAP2",42.6771,42.0552,38.3544,49.008,40.9642,38.123,31.4411,30.9855,31.1613,35.9481,33.6487,42.4362,21.2275,42.4533,32.1788,34.9227,44.461,45.2721,33.7522,25.512,39.5386,37.4686,43.4766,43.7071,50.5082,37.4275,41.9913,39.36,33.9601,36.8249,47.4585,50.5065,40.6826,33.5941,45.97,49.0391,33.3285,39.7591,38.4675,39.1806,40.6198
"SLC25A5",1540.8862,1974.0289,1157.2596,1352.8139,1073.5169,1198.0081,1707.8545,803.5524,1374.8223,1313.8413,1484.9004,1410.1912,540.9589,1191.6568,960.9919,1288.4642,1532.5613,1461.3959,1840.9725,1455.1308,1176.2651,974.993,1267.6838,2053.7824,1686.4049,1638.3345,1102.8123,2129.9586,1270.9902,849.1157,1556.971,1035.6664,1588.8676,1485.4417,1174.0872,1649.4104,1660.3472,1359.1888,1051.9707,1158.8779,1733.2645
"MCUB",5.7566,19.2969,5.0406,10.1708,8.5274,8.5637,5.0833,6.7958,10.7056,5.855,5.3428,5.6577,7.7745,12.157,8.0607,8.4905,7.0064,11.6047,4.826,4.3791,6.4383,8.0148,12.5129,11.3933,5.9893,11.9172,12.3051,5.5125,6.1462,15.7049,6.8063,10.4598,8.2021,11.8044,10.54,15.4736,4.5867,27.8133,8.6404,4.4441,11.1291
"HOXA11",8.2897,9.8126,7.3967,8.3674,3.6304,21.3592,6.8324,17.4008,6.0618,3.563,7.9689,8.8755,87.531,19.565,11.9905,8.9953,10.0339,5.2126,4.7941,7.2867,6.4988,7.7705,41.28,3.2615,9.1055,12.3936,4.7902,0.4226,4.0459,20.5416,9.7466,11.7725,11.523,6.0927,6.3442,11.5096,3.8856,14.5518,4.9618,9.9756,4.3988
"POLR2J",65.9768,67.5866,48.2664,72.5973,57.7701,56.445,83.1324,55.9253,64.0283,78.2299,82.2797,67.6206,53.0098,62.3673,60.9749,61.4185,60.3637,99.3512,67.6502,65.4044,75.0778,55.454,76.9111,96.8424,75.1872,81.698,75.9455,55.4232,66.6915,66.7132,65.4888,64.8099,70.8518,58.7574,84.0105,112.4057,54.7738,93.0129,67.3556,61.7007,72.4423
