"","TCGA-AG-3731-11A-01R-1736-07","TCGA-AF-2691-11A-01R-A32Z-07","TCGA-AG-3732-11A-01R-1660-07","TCGA-AH-6643-11A-01R-1830-07","TCGA-AF-3400-11A-01R-A32Z-07","TCGA-AG-3742-11A-01R-1660-07","TCGA-AG-3725-11A-01R-1736-07","TCGA-AF-2692-11A-01R-A32Z-07","TCGA-AF-5654-11A-11R-1660-07","TCGA-AF-2689-11A-01R-A32Z-07"
"TSPAN6",91.0831,75.1427,61.6879,87.6843,79.9616,82.1872,122.584,68.1329,92.6196,57.5133
"TNMD",2.1054,0.8274,2.4773,1.6331,0.6181,1.208,2.3803,3.2632,1.879,1.224
"DPM1",82.3033,83.8509,90.7318,75.3288,82.3457,141.4912,138.1821,81.8707,93.2874,68.3828
"SCYL3",7.8825,5.1148,9.0709,6.8292,6.3062,7.7826,8.3501,4.9138,7.08,5.3846
"C1orf112",1.7237,2.5082,3.0318,1.9558,3.6594,2.4152,2.6205,2.5622,3.1191,2.6285
"FGR",9.1433,6.3274,4.0544,9.8003,2.4135,6.3723,3.5282,7.0739,2.9755,7.433
"CFH",27.4189,24.4671,47.8947,27.243,19.0315,28.7646,27.0809,34.2909,23.3545,24.4832
"FUCA2",56.8467,64.8788,46.1278,43.9907,71.2059,48.1282,48.4138,55.2545,59.7518,51.2162
"GCLC",16.0433,14.7937,23.4739,14.2214,12.6696,17.7657,9.4458,14.8259,9.6726,14.2014
"NFYA",22.1901,14.6717,21.1323,18.1849,18.634,16.558,14.3156,20.6521,14.7,16.5786
"NIPAL3",19.5078,15.1342,30.4225,23.1534,20.2516,14.6281,9.3622,25.7152,20.8722,18.6236
"LAS1L",7.3565,9.2285,9.276,7.1339,9.1479,7.465,4.3929,9.8143,6.5006,8.0912
"ENPP4",28.1814,24.4917,40.5297,31.0301,26.4476,38.0263,30.6756,25.2221,39.5339,18.2844
"SEMA3F",19.0854,12.3562,15.4566,11.894,13.6504,13.2683,10.9476,15.497,13.5786,11.9794
"CFTR",86.9506,60.3901,55.7197,49.0069,85.9123,51.3535,57.4087,69.9914,45.6207,44.2564
"ANKIB1",22.2142,16.4926,34.6527,20.8788,19.5205,24.1199,14.6863,24.2832,19.2064,15.5436
"CYP51A1",3.4934,8.9076,1.9946,1.3021,5.8369,1.9551,2.179,7.6791,9.4754,3.2326
"KRIT1",2.3649,1.6348,2.9469,2.5012,1.7723,2.599,1.8165,2.1158,2.0819,1.7306
"RAD52",6.5391,2.6178,6.9022,9.2342,6.0032,5.1991,6.1241,5.0308,8.3409,5.5138
"BAD",26.0385,19.1507,16.2703,17.5973,31.7102,27.1416,37.1426,21.4442,14.6137,23.5124
"LAP3",68.7503,68.1528,80.2554,67.0695,65.8764,79.8564,51.5609,74.5058,80.4736,68.0383
"CD99",179.2675,100.9419,164.9505,102.6971,138.4214,139.0057,119.6715,138.859,98.0613,114.4364
"HS3ST1",3.1382,6.0063,2.3975,3.5663,2.6413,3.3469,3.3346,3.652,1.8544,4.1239
"AOC1",436.3175,501.5722,252.5095,446.6006,737.7657,294.7906,344.9325,335.6348,908.6055,665.0016
"LASP1",142.1386,169.7973,120.9437,141.7815,248.8814,94.2313,72.5896,127.8056,230.9262,165.5727
"SNX11",19.5615,21.0575,23.2017,19.5749,20.5397,33.3119,44.8777,20.1188,19.4214,18.9714
"TMEM176A",145.5784,120.3869,84.9458,133.3257,198.095,118.0548,184.8763,128.3564,121.6266,124.0954
"M6PR",68.2943,55.3511,50.0542,41.9614,54.4305,63.7255,42.1409,52.8697,35.7402,46.5215
"KLHL13",5.2162,4.4484,9.8836,3.7109,1.9047,6.6054,4.2909,6.7535,1.8042,3.866
"CYP26B1",5.8207,2.52,9.9889,5.3023,1.0723,3.9263,0.9782,7.1768,0.6952,4.745
"ICA1",21.8464,21.0746,10.6147,21.1963,19.2139,20.2416,22.3049,23.5323,12.203,9.2391
"ALS2",5.0319,4.9396,7.8995,4.893,3.8962,6.4465,2.8706,5.7198,4.0993,3.7188
"CASP10",20.0253,19.3529,14.7231,19.3762,33.2261,13.3855,15.4511,14.3196,33.6353,16.4572
"CFLAR",12.1087,18.17,15.994,18.823,13.0146,11.5011,7.1719,18.1091,16.9729,12.1543
"TFPI",9.5199,6.7633,14.2653,6.4692,3.6399,12.8783,5.7496,7.8078,7.5626,7.8393
"NDUFAF7",8.9301,7.4901,11.1919,8.4386,8.8113,13.0795,10.2404,8.9592,6.9884,6.9843
"RBM5",13.9791,7.3315,20.4504,17.143,11.3814,12.6421,10.4968,13.1491,13.4041,11.6923
"ARF5",161.4285,170.4428,106.7408,102.6535,186.4827,169.1456,226.9845,154.5519,128.3012,145.2674
"SARM1",1.4863,1.3484,1.6546,1.7772,1.3101,1.3822,0.6745,2.3545,1.32,1.2876
"POLDIP2",128.6565,134.3403,118.8716,94.9368,170.1928,145.5488,122.1525,138.487,134.7945,114.5662
"PLXND1",22.1216,17.2295,27.6622,18.1681,11.8769,14.187,5.7294,28.9981,12.3455,21.3723
"AK2",38.389,37.3105,37.743,33.9273,51.5969,44.6685,52.178,39.313,45.5096,32.6712
"CD38",5.6315,4.7935,3.5462,8.9533,1.4705,3.3125,2.4555,3.6047,2.2881,4.321
"FKBP4",62.1526,81.6911,50.62,44.0038,77.8211,50.8552,42.3317,82.5762,59.8241,52.4884
"KDM1A",42.5342,47.087,45.4042,31.087,59.0568,42.0953,26.8085,47.7234,36.7352,37.2337
"CAMKK1",3.1664,4.8363,5.731,2.7261,3.7273,3.911,1.7837,5.7607,3.6352,4.4862
"RECQL",12.1596,13.2363,24.6494,12.9169,7.9284,19.2419,9.0164,16.0649,6.605,10.9684
"VPS50",8.4044,7.3103,12.7858,8.1168,8.9761,11.2564,9.1193,8.5049,9.367,7.2414
"HSPB6",45.0337,97.5138,88.8152,45.0924,8.5502,79.3202,24.6088,153.4135,4.2285,91.4703
"NDUFAB1",131.0449,150.2434,105.3498,100.7303,191.1298,189.8476,291.839,134.8521,157.0949,137.6495
"PDK4",144.2768,121.4493,186.3473,135.5553,17.3294,247.3216,53.2188,244.842,93.4679,78.3139
"SLC25A13",28.1494,48.6914,23.6788,33.7863,56.7121,25.0326,18.3861,32.6275,56.2999,33.1834
"CDC27",18.6858,17.7725,32.994,21.8568,19.3003,26.1965,14.2508,20.6084,18.3349,17.7306
"HCCS",48.7259,40.2951,50.0959,52.4054,47.9536,62.004,70.1096,44.5026,56.4781,41.5945
"DVL2",20.6513,13.1327,24.6357,15.3461,16.1885,17.4536,10.0538,20.5309,15.3235,17.1512
"UPF1",38.1736,56.7665,52.7496,43.5735,60.6559,26.6212,15.4185,65.0419,42.4152,46.6873
"SKAP2",30.3894,34.3301,55.23,44.5003,44.8983,49.6999,45.1579,42.7893,54.9245,33.7191
"SLC25A5",901.6531,1057.9309,893.1469,953.0665,1779.4911,1253.4555,1658.1044,1056.4306,1898.6662,1149.9821
"MCUB",11.5501,11.083,12.2399,14.2182,8.4685,16.3984,18.7216,9.6775,11.1224,13.4746
"HOXA11",6.6232,5.7695,26.2698,8.58,5.4869,14.4354,6.2093,9.5387,2.9392,10.7917
"POLR2J",71.9978,64.5426,50.7327,59.9295,88.0217,81.0686,123.9209,61.5614,64.0925,70.2089
"DHX33",8.8089,11.9793,14.2118,8.5361,12.4496,8.6239,4.5804,12.3796,10.4027,8.1498
"MEOX1",8.4207,7.2878,10.1874,4.5637,2.873,12.1182,2.8013,11.2231,4.5931,8.4165
"LIG3",5.6152,6.1163,6.5047,4.1165,7.7414,4.8372,2.8518,6.2279,5.0119,4.9574
"RPAP3",14.6451,14.0838,22.7252,15.2066,11.7211,19.7064,10.2595,14.543,9.0939,12.1955
"ACSM3",20.235,7.5513,8.5571,7.252,13.9314,9.1354,9.0299,9.8246,7.5229,5.5399
"REXO5",2.528,2.8933,2.1124,2.0889,3.4338,3.1303,3.4991,3.5663,3.4887,2.7373
"CIAPIN1",36.427,47.7003,33.8038,28.7242,50.6976,49.4735,51.4958,38.6131,36.9608,34.1937
"SPPL2B",18.8695,16.1683,13.4921,20.0328,28.8,10.4386,8.8994,18.5989,24.4049,17.8463
"COPZ2",21.7862,18.5536,42.6204,16.8339,5.7381,41.6273,14.5653,32.7614,5.6902,18.783
"PRKAR2B",28.233,20.9932,55.1655,20.0959,16.0764,38.5061,13.5629,36.834,13.758,23.5081
"MSL3",7.6311,5.0602,8.9357,8.488,5.8521,8.9015,10.906,7.2953,6.4817,7.1728
"CREBBP",20.0365,20.9565,32.5342,23.734,18.8195,15.0195,5.7344,28.6545,15.4597,21.3057
"TSPOAP1",3.2027,2.3545,4.559,3.4063,1.758,3.1039,1.2223,4.6845,1.3567,2.4882
"GCFC2",7.788,6.533,12.4685,6.8543,5.0898,13.1142,6.4809,8.0721,5.3532,4.8859
"WDR54",6.7699,5.1201,7.0836,5.3353,5.118,7.5564,7.3217,6.7738,6.1124,6.2804
"CROT",7.7002,9.6207,17.9533,17.2374,11.6601,15.1939,11.6655,14.8879,12.2943,11.1194
"KMT2E",31.9108,28.2818,52.97,36.858,33.1217,25.9782,14.5386,35.7558,33.7534,27.1245
"IBTK",24.014,47.8379,30.1112,24.3983,38.3173,34.6219,17.502,35.5671,32.5442,20.7682
"ZNF195",3.7411,3.4868,4.7459,4.5605,5.0266,5.7789,6.7473,3.4078,5.8392,3.1515
"MYCBP2",8.3392,8.8317,17.3026,11.186,6.5924,6.7111,2.405,12.5609,7.0976,8.2399
"FBXL3",23.9959,19.4359,41.0947,29.5737,19.5155,42.7595,32.2457,23.1881,27.6036,23.5406
"ITGAL",7.3647,5.4801,4.4854,14.38,3.0374,2.9314,1.922,7.5283,2.4903,10.3038
"PDK2",27.1339,15.1214,37.7283,24.2881,22.5638,29.3309,18.8898,31.9933,16.8297,19.8228
"ITGA3",51.796,50.5374,46.9377,50.5368,73.9183,26.7553,26.2063,51.3466,64.9623,55.1469
"ZFX",8.2811,11.0935,27.251,9.1525,6.8699,16.8305,9.5874,14.8824,8.6893,12.3663
"LAMP2",49.8114,41.3832,64.837,43.3116,38.2834,59.2045,43.9302,48.5555,48.2475,39.8941
"GDE1",99.4271,123.5929,118.5875,82.0552,113.3549,137.508,127.5367,118.5773,80.9352,84.5886
"OSBPL7",16.1931,8.7099,9.8897,17.216,22.1226,6.1456,8.1299,11.3074,23.6076,14.9311
"TMEM98",103.1935,82.0604,67.181,65.5986,99.5755,113.1213,154.4085,72.7349,66.2536,73.3229
"MAP3K14",10.7765,11.5793,14.5152,14.2604,6.2348,11.9401,7.0524,18.7791,5.7877,9.7718
"TMEM132A",4.3842,3.6354,3.0287,2.2369,4.8451,2.2274,1.6586,4.7515,3.573,2.7037
"AP2B1",106.2696,177.7382,122.3863,91.6826,190.9217,81.78,60.1772,151.9113,137.4434,113.3555
"TAC1",5.5943,6.2653,26.2173,5.1921,1.4023,13.6749,7.0085,9.8005,2.3142,5.4875
"ZNF263",10.8364,11.917,13.6485,8.7646,10.7458,14.7464,7.8786,11.7298,8.3161,10.1173
"CX3CL1",12.6248,15.9032,13.4513,10.086,3.8186,18.8731,4.3267,23.7025,5.9429,14.2384
"SPATA20",44.5673,26.0275,43.8483,23.924,49.3196,35.6015,25.7981,53.6725,29.2189,8.9658
"TNFRSF12A",11.5125,126.2777,6.0401,5.3119,21.2749,26.1275,12.5513,92.5151,12.1872,16.91
"RALA",59.2848,73.2773,79.3322,65.6259,82.9632,79.6225,60.5853,63.8132,93.7622,66.7046
"BAIAP2L1",37.6714,93.2907,21.18,37.0941,64.9663,22.0296,20.5154,45.1118,56.8032,42.9566
"KDM7A",22.5819,21.8446,24.72,26.7563,18.1554,19.2027,10.5394,26.058,23.126,18.885
"ETV1",4.5354,2.9932,8.3285,2.6089,1.3483,6.8048,2.2614,5.5158,2.0768,3.4842
"AGK",6.0483,4.5669,8.0757,5.3027,5.2203,6.131,4.3132,6.2147,4.8593,4.4733
"ALDH3B1",17.0914,12.4776,12.1958,6.5711,15.9422,13.7236,11.4652,12.7569,15.6898,11.592
"CCL26",1.2319,3.4745,0.7802,0.8572,1.366,2.5363,2.7346,1.5811,1.6907,1.4685
"FARP2",11.1806,12.3965,14.1277,13.1358,17.7647,9.235,6.444,14.0286,17.01,12.2806
"USH1C",88.4242,82.1941,63.2847,88.754,148.9407,71.973,77.388,71.892,140.5094,91.6377
"GGCT",23.9697,34.4116,22.0791,22.4002,40.5748,26.6997,27.2812,32.2088,43.3475,29.0152
"DBF4",5.1886,7.7425,5.6698,6.5083,12.0377,8.5366,11.9452,7.1992,9.6569,6.7065
"TBXA2R",2.2886,1.9534,2.8779,2.6913,1.5796,2.1663,1.3366,3.445,1.4295,3.5605
"IFRD1",2.0888,2.0899,3.1929,4.4614,2.309,3.1786,2.6425,3.8313,2.7075,2.7044
"COX10",13.6106,14.0845,13.6119,10.4809,21.2216,13.1612,11.6665,15.7783,15.0947,11.5905
"GTF2IRD1",7.1332,10.7686,8.7911,5.9693,13.9413,5.1888,5.2632,8.869,6.1694,7.1006
"PAF1",59.6309,69.0296,71.7836,54.2632,67.4233,59.5148,33.3776,74.3974,54.8831,66.9774
"VPS41",21.9823,17.1519,35.2824,19.2209,18.6746,30.0006,14.5458,24.9008,20.9851,17.4259
"ARHGAP44",25.909,15.1233,15.6017,16.8888,24.7286,13.6881,12.0818,24.7553,16.7453,13.7435
"ELAC2",26.243,35.2481,32.7819,22.2156,43.7978,24.4455,15.4033,33.0181,25.4283,27.8734
"SCIN",10.1922,5.5676,15.5999,19.1853,11.3739,9.1751,8.5357,12.3786,30.5136,13.8392
"ARSD",29.0609,39.0199,34.7907,20.5101,31.0875,33.3764,31.4373,39.6401,35.1532,35.2058
"PNPLA4",16.9961,16.3923,22.2169,12.4112,15.625,29.3632,52.3363,19.6912,21.1396,20.2177
"ADIPOR2",57.4699,86.311,59.2752,63.7666,101.8684,59.1748,35.5609,74.6049,102.3401,70.2795
"MARK4",11.1822,9.4935,13.6653,8.4994,6.2327,11.7167,4.3224,14.0353,5.7262,10.772
"PROM1",23.3984,4.7852,22.2006,11.1927,46.6371,8.7637,7.7962,27.4829,35.3104,31.0528
"CCDC124",83.8837,103.1624,82.3876,60.2721,99.2389,94.8367,59.4655,100.9183,66.5966,96.3381
"PAFAH1B1",26.0175,31.9269,47.4094,33.1762,28.5455,31.0964,14.6675,40.6296,36.3021,29.0123
"NOS2",27.5969,4.4059,10.6396,16.3192,28.3244,8.1064,12.161,10.6122,14.5724,14.7498
"SLC13A2",29.4987,53.7252,17.9936,108.6967,42.5527,29.8455,38.426,70.3365,56.1989,53.5707
"GAS7",18.0595,22.9534,55.6328,16.448,5.8282,23.7495,6.043,35.2702,6.6773,20.6718
"TRAPPC6A",99.1026,71.0842,58.2968,51.6725,77.4005,91.5635,131.5144,67.2813,40.511,56.8192
"CD79B",10.92,13.3908,4.3002,43.5095,1.7697,7.5191,5.5295,4.3637,2.4978,20.327
"RPUSD1",17.2388,26.7129,15.5492,14.6359,32.4782,19.3734,19.2239,19.7455,18.4289,23.3952
"RHBDF1",15.3329,25.0479,17.6911,15.0842,19.4738,13.6933,8.3908,16.7597,18.0439,21.8491
"LUC7L",8.7023,7.5144,9.4433,12.1726,9.9435,7.4936,7.7818,9.0071,7.8263,8.3412
"CACNA2D2",4.4775,3.1657,4.8319,2.1529,3.2463,1.9654,1.426,5.3108,2.0211,2.8792
"BAIAP3",4.5281,3.5029,2.6635,2.7251,3.8748,2.0811,1.9315,2.8331,3.3724,3.5235
"TSR3",69.1318,81.0978,68.2956,62.5665,82.3796,73.1009,55.9357,80.1367,60.5094,82.3338
"PIGQ",7.9178,8.4692,7.4704,8.1696,11.851,6.7792,5.2907,8.9135,10.8328,9.0937
"CRAMP1",3.3662,3.0392,4.945,4.627,3.4743,2.8498,1.2956,4.6858,3.4752,3.9933
"TEAD3",68.2367,74.7297,134.047,62.531,42.5978,99.7686,31.6775,108.4614,33.499,76.4036
"SELE",3.1548,4.122,0.3189,3.8108,0.1989,0.4395,0.3469,15.9502,0.2073,1.7559
"DNAJC11",28.0626,37.6702,28.6128,26.3495,49.6398,21.6566,14.7239,38.0071,39.9856,25.3574
"MYLIP",35.969,21.4162,53.8601,47.5219,30.9472,46.2555,30.5772,27.6704,10.9108,28.5482
"NOX1",171.1209,126.8923,129.8767,111.7046,266.6413,125.1075,166.7027,138.1184,187.7045,148.6647
"E2F2",8.0958,19.035,8.251,12.8674,21.4406,7.948,6.311,18.5086,16.6978,15.2909
"PSMB1",187.3367,198.8787,184.5158,149.7749,193.4451,296.9503,325.4457,188.268,159.334,183.4448
"SYN1",1.3237,2.5177,2.7426,1.3116,1.3763,0.8307,0.4439,2.935,1.0401,2.1156
"JARID2",11.4876,11.9568,11.9318,10.4355,9.3431,7.1512,3.3867,13.7832,9.3782,8.7051
"CDKL5",1.3126,1.1425,3.31,1.2057,0.7106,1.3506,0.5009,2.2137,1.0312,1.2487
"CDK11A",0.4408,0.5012,0.4314,0.9777,0.4532,0.3354,0.2216,0.8327,0.9973,0.5685
"NADK",49.4711,43.824,38.0916,52.3109,65.8419,42.0871,34.4899,43.4833,60.7021,45.6875
"CYTH3",19.2968,16.0451,37.0501,15.6157,13.6076,24.3322,10.3978,25.2706,16.1806,19.2859
"ADAM22",2.2175,1.641,3.2597,4.0755,1.1651,2.1288,1.0651,2.152,1.5589,1.6587
"SYPL1",150.7441,134.228,248.1267,158.9402,150.5669,201.0601,135.2003,171.5667,161.5805,132.8951
"CYB561",48.8082,49.791,28.0143,36.2989,78.7135,31.4419,34.3842,41.2656,52.2322,38.3338
"SPAG9",20.9207,34.2845,35.4393,21.8067,23.2692,25.1754,11.8941,34.1741,19.76,16.6598
"CELSR3",0.8607,0.4831,0.9174,0.6364,0.6518,0.5709,0.6126,0.7185,0.6522,0.4659
"AASS",2.8591,2.0637,7.4074,3.719,1.7797,3.6062,0.9251,3.8045,2.0452,1.9675
"PLEKHG6",51.3861,94.1959,36.8658,67.2124,87.8473,31.7911,39.2917,45.7473,100.8338,70.6181
"SS18L2",11.9925,10.9333,9.0592,11.379,11.6419,16.7077,23.0463,10.7453,12.3,11.7872
"MPND",42.4157,42.1118,28.9096,31.6168,55.3497,28.6402,30.8318,33.581,43.3124,42.6754
"MGST1",50.7656,37.2005,45.9831,35.6954,91.8875,62.9153,88.1611,45.1185,91.9959,29.205
"CRY1",11.0367,21.9639,14.4136,11.8617,14.3784,17.4756,12.0326,21.4615,16.421,11.7119
"NFIX",73.5298,71.6166,153.6483,54.0003,52.2756,91.1104,23.8685,122.7519,34.5768,74.3676
"ST3GAL1",8.3563,8.836,9.4284,9.0034,3.0267,7.3738,3.1977,13.2561,3.0435,8.5953
"MMP25",3.0115,1.8884,2.0668,4.2401,1.2665,1.5701,1.811,4.2882,0.7838,3.2945
"IL32",63.0247,118.4609,41.4195,127.5824,107.6561,66.6989,82.4856,69.3236,88.9674,102.1755
"PKD1",9.0211,10.0532,17.6523,10.1731,5.8782,8.7083,2.1889,21.0384,4.5575,11.455
"MAPK8IP2",2.2776,3.0432,3.2507,1.1963,0.9117,1.5255,0.8811,3.609,0.7386,2.4415
"MED24",37.5528,33.5058,26.9303,19.1081,52.0083,20.9003,18.3578,36.0664,36.0454,31.4071
"RHOBTB2",4.0687,5.1325,6.3606,7.0418,2.1571,4.1862,1.7748,7.0774,1.6181,6.8008
"HEATR5B",13.9634,12.7238,17.8654,14.4385,13.9009,9.2691,5.4558,15.921,14.7069,12.7261
"SEC62",66.9631,48.9002,97.2593,55.7079,47.1066,102.9155,56.2395,59.2911,47.4851,45.5699
"RPS20",339.9706,263.9759,329.3449,233.2241,217.1573,484.8389,448.3717,284.4773,174.0201,289.1403
"CSDE1",353.8281,371.1283,718.3022,346.2282,282.2402,557.5296,192.9502,494.9543,262.2769,358.096
"UBE3C",34.1928,36.7117,43.5689,30.344,39.4802,36.7544,20.3942,44.0546,32.6757,28.6241
"REV3L",6.3551,6.1497,15.5605,7.9906,5.9125,7.1002,3.3452,11.9191,4.7001,5.0019
"IYD",10.3883,7.8609,10.5599,12.5911,8.3222,8.5437,8.2271,7.5802,11.1647,7.0538
"POMT2",3.701,3.725,5.2161,4.1854,5.3931,3.2769,1.9873,5.7969,5.6774,4.8178
"VTA1",24.6646,23.9307,29.9253,25.7807,29.4058,34.2534,27.391,21.8264,30.6015,22.4738
"MLXIPL",3.9887,3.5731,2.1833,4.6308,3.6697,1.449,2.5883,2.946,3.9331,2.3478
"BAZ1B",33.3876,37.6662,59.2245,39.841,46.5189,34.6102,16.0937,47.5159,31.7852,39.7887
"RANBP9",29.7101,32.3911,42.3968,31.5848,26.1044,31.7757,15.6106,35.4468,31.691,29.2619
"ETV7",4.957,4.0485,4.4667,4.7913,5.6227,6.3676,5.2496,2.5862,5.7076,4.4139
"SPRTN",5.2876,5.6732,8.4355,5.9437,4.8129,7.7574,5.9937,5.9328,5.1386,4.5623
"EEF1AKNMT",31.0103,29.4398,30.9484,25.3455,43.1396,28.3092,20.5048,27.2035,27.6538,32.9572
"DYRK4",6.9258,4.7273,7.1405,4.6453,5.4522,10.671,8.1289,5.7401,4.1787,4.6979
"ZNF207",18.8728,23.1459,23.6133,19.306,25.7195,24.367,18.3012,19.8391,22.7627,18.5681
"UQCRC1",355.1267,403.3855,254.2114,277.4516,621.8731,356.4683,453.8718,351.5037,472.9578,381.5489
"STARD3NL",27.781,21.3062,29.703,18.7277,21.9866,45.6093,55.5432,23.3675,18.0504,17.4648
"CD9",317.4604,309.1153,322.8873,273.9827,407.2014,371.6218,408.3737,321.6949,337.6166,238.7879
"NCAPD2",28.1725,34.1988,34.5591,40.1443,61.9595,24.5265,18.4321,43.1611,49.1597,45.7546
"IFFO1",7.1393,3.8335,11.3319,8.0737,2.1167,7.8697,2.9626,8.1668,2.644,6.1065
"PHF7",8.0868,3.4726,6.4946,5.8221,6.6941,8.5956,6.6802,7.6624,6.5482,3.9742
"SEMA3G",13.2734,7.4279,21.1191,8.3433,7.6584,7.4496,2.732,17.1675,12.0577,9.2355
"NISCH",26.4556,25.5069,35.3165,27.1323,23.5201,23.2342,10.5338,35.0911,20.0938,23.9353
"STAB1",25.9433,25.6271,24.2865,28.3159,20.7606,17.6085,14.6504,53.1887,11.7121,23.7276
"FUZ",6.7798,5.3945,9.4726,7.0661,4.2763,10.7632,5.6121,8.6034,3.0858,5.9257
"IDS",2.6091,2.9081,2.7343,2.1965,1.5757,2.3689,1.9686,3.2176,1.3471,1.8495
"PRSS3",160.4099,207.2566,88.2059,131.4157,270.2322,204.3848,403.5088,141.8862,191.0621,163.9841
"CD4",69.121,42.5544,39.7589,45.8221,19.2608,45.9481,32.5268,55.6234,13.2673,39.8948
"BTK",9.721,6.1166,6.6337,18.5399,2.1095,6.7609,8.433,5.0673,2.4248,9.3647
"HFE",10.7632,4.0328,12.6932,7.2342,5.9479,11.215,11.4591,7.0696,5.4874,4.1386
"SCMH1",32.5686,27.9409,57.2901,26.4591,25.4058,35.928,16.9489,39.5865,17.7293,27.7884
"FYN",14.8411,16.3792,22.0423,17.5438,5.8828,14.2888,5.8678,21.9543,5.6988,16.8208
"HIVEP2",7.21,11.7462,12.3028,9.9684,6.2458,7.5957,2.3579,13.8345,4.6926,7.9063
"ELOA",26.1002,29.1453,30.929,24.369,28.109,26.502,16.2436,33.4401,24.8842,24.5693
"LYPLA2",109.3738,159.667,74.1801,97.1708,210.9717,88.1467,82.1328,102.8981,142.99,118.4596
"CLCN6",5.8966,3.7682,12.2809,7.2628,3.5602,5.6626,2.0845,8.2829,7.0775,5.04
"MRC2",21.5415,32.3464,47.0451,24.5153,11.4082,15.3255,5.0188,63.4246,10.9282,30.5827
"SLC6A7",2.2988,1.1422,1.3251,3.4344,2.0544,1.015,0.9145,1.5098,4.15,1.1827
"TSPAN9",10.1002,10.4815,20.3479,10.8002,7.3431,13.8764,4.5217,22.5206,7.5738,15.594
"BTBD7",12.9371,13.0582,22.3351,13.2937,13.5618,12.8325,6.5454,16.3741,14.0466,11.9288
"APBA3",6.8004,5.8262,4.819,5.2364,7.1731,5.4027,7.1668,5.6561,3.6816,6.6968
"MKS1",3.1781,1.5763,2.8514,2.3763,3.0422,2.8989,2.1793,2.5374,2.6542,2.3877
"ABHD5",9.7644,11.2905,13.7138,15.4474,13.4193,13.6657,11.9496,15.7403,14.7357,10.8523
"ANOS1",0.7697,0.9597,2.1943,1.1062,0.2644,1.1384,0.468,1.2481,0.4028,0.7216
"AKAP8L",8.8467,7.057,9.6651,9.6849,7.0997,7.9216,4.4637,11.9217,8.6431,7.9781
"MBTD1",11.3886,5.7727,16.4911,12.048,8.7021,10.9851,6.6715,9.9094,11.1953,7.4583
"UTP18",31.8327,37.8554,27.495,23.6326,40.2524,38.8611,36.2229,28.3736,27.4095,26.7164
"RNF216",17.8868,21.7698,37.4776,22.8691,15.4769,22.839,9.8963,28.728,11.1494,23.3701
"TTC19",34.2065,41.943,29.7312,24.5248,38.8784,34.3302,19.6987,31.1942,43.4149,26.5852
"PTBP1",89.3563,156.228,79.2103,80.6472,185.3889,65.4619,46.1765,132.4591,108.97,114.3762
"SYT7",8.8504,9.9843,7.4927,10.9522,10.8085,4.9785,5.4335,10.1344,12.0033,6.2883
"LARS2",8.364,10.3015,8.0015,6.8729,13.278,6.1982,4.3438,9.3085,9.714,8.3001
"PIK3C2A",16.0071,16.8057,32.9243,18.5867,14.9982,20.8712,9.7159,21.3866,19.7666,13.2019
"PLAUR",24.7003,91.5693,6.2146,33.2954,22.6448,20.0022,10.3815,111.0114,15.8761,74.3298
"ANLN",3.8652,8.7127,6.6155,5.5897,14.5478,5.7395,6.0133,7.1401,15.631,7.7122
"WIZ",12.9884,16.9134,18.8073,13.0589,16.7912,10.2106,5.0261,19.9755,10.7209,15.1971
"RABGAP1",41.8275,29.234,71.8674,34.6634,20.6021,53.9188,17.5076,49.6449,23.8254,33.0774
"DCN",279.5227,145.6149,509.6008,167.5848,59.6172,375.3033,287.479,288.4476,86.5678,172.4581
"PPP5C",24.843,23.7597,20.8514,17.0762,29.2466,25.9936,23.6957,26.1172,21.6735,22.6236
"MAP4K3",18.3215,15.2039,32.0913,17.4515,14.5488,31.6563,19.7579,17.4361,20.6339,13.0325
"TYROBP",203.7184,132.5444,89.7,76.5746,47.1681,266.7526,321.072,135.1521,35.9937,114.6194
"TMEM159",35.5092,38.5689,76.9759,45.2915,43.8105,63.2476,89.4838,44.5487,26.3302,36.807
"BRCA1",2.8959,3.7831,5.4027,4.9296,6.2018,3.3988,2.3792,5.3805,6.4031,4.4596
"ERCC1",18.888,15.6108,16.9381,13.3362,13.3236,19.6759,17.8121,14.6966,11.6974,15.305
"SEMA3B",31.0184,55.5025,41.1107,30.2073,32.307,25.1461,16.2737,48.0561,40.6908,43.0811
"MBTPS2",6.8798,5.9719,10.8122,5.5665,5.2014,8.2851,4.0537,9.4378,5.7137,4.4319
"PRICKLE3",8.0819,6.8844,6.0009,7.0466,9.5873,5.8735,5.9291,6.2976,5.4401,6.2123
"LTF",11.9154,29.099,3.3,51.1004,1.9981,4.3532,2.2933,5.1748,2.0659,29.2061
"EXTL3",7.6302,10.2447,13.7197,7.9394,7.8062,8.7766,3.2977,13.9483,5.2052,10.2161
"ELOVL5",28.5648,30.8878,71.4669,34.217,11.7488,50.9491,15.5077,44.5307,45.7601,32.4494
"ALOX5",15.7338,11.9866,8.2591,19.9934,4.7629,9.7266,5.8293,11.7493,5.6508,12.3719
"KDM5D",13.8732,0.0056,0.0097,16.2152,9.1941,0.0164,0.0911,0.0056,0.0084,0
"CALCOCO1",35.4453,20.4211,64.4352,35.1246,12.3572,50.5571,14.9447,44.5415,12.022,24.5678
