"","TCGA-AG-3731-11A-01R-1736-07","TCGA-AF-2691-11A-01R-A32Z-07","TCGA-AG-3732-11A-01R-1660-07","TCGA-AH-6643-11A-01R-1830-07","TCGA-AF-3400-11A-01R-A32Z-07","TCGA-AG-3742-11A-01R-1660-07","TCGA-AG-3725-11A-01R-1736-07","TCGA-AF-2692-11A-01R-A32Z-07","TCGA-AF-5654-11A-11R-1660-07","TCGA-AF-2689-11A-01R-A32Z-07"
"SOS2",28.2507,22.9273,42.207,37.6319,26.1637,28.6745,18.2708,29.9686,31.7615,26.1808
"NIN",9.234,7.6192,14.2742,12.1496,5.5624,7.999,3.8517,8.5712,4.7589,7.8175
"PYGL",35.1764,29.6569,36.2959,21.6906,39.4387,16.0466,20.0503,15.2872,29.1262,19.5983
"PSMC6",24.3377,24.175,29.6644,21.9067,26.5595,38.6726,43.6616,22.71,25.4275,21.3059
"GNPNAT1",18.294,24.6828,16.0486,8.3406,31.1918,21.7679,21.2756,16.961,23.0207,11.0832
"DDHD1",2.1789,1.6788,3.8054,2.8817,1.842,2.5606,1.4104,2.9378,1.5868,2.0252
"CDKN3",7.9634,12.0313,8.5638,13.7857,27.695,23.8982,37.8027,11.3295,26.0676,15.1257
"CNIH1",68.8993,53.4171,83.7273,51.4199,64.7759,129.2952,172.9565,58.4441,61.5247,50.2404
"CGRRF1",10.9125,7.3571,15.5204,11.5636,7.962,26.9885,31.5924,8.253,8.3996,8.6731
"ATP6V1D",45.2699,55.1502,50.9048,48.3509,59.8182,65.5839,60.5305,43.7936,71.0665,50.5612
"PLEK2",44.4499,116.42,27.325,26.2138,113.1369,69.962,80.6973,65.8826,59.189,50.4342
"PIGH",10.3394,10.2656,11.069,8.7586,10.3397,15.867,15.5521,11.8166,7.932,9.482
"PSMA3",58.4204,64.311,66.4932,57.6543,62.8199,94.6626,97.5682,62.6048,65.3902,54.1937
"VTI1B",22.6102,24.5982,30.2387,23.6121,21.7017,27.8475,19.0779,28.0978,25.0162,22.337
"TIMM9",28.8537,24.7874,40.6066,23.9924,30.0433,53.9256,46.9555,25.4178,23.5029,26.028
"GSTZ1",9.2813,8.5379,6.8191,4.9349,15.6013,6.9042,9.2957,6.6817,9.0274,8.8057
"KIAA0586",2.4218,2.2967,4.3199,2.8419,3.1192,2.2732,1.5813,3.0385,3.1056,2.285
"TMED8",10.5878,11.8706,15.9717,15.9665,8.3521,11.5568,4.0059,13.7283,8.0862,11.6326
"AHSA1",93.8235,110.0773,97.3751,72.9492,116.629,94.3213,92.4774,108.5003,75.6588,89.7188
"DAAM1",12.0463,12.0059,22.9131,15.3864,11.2283,15.2771,6.7206,15.263,11.6136,12.124
"SPTLC2",34.858,35.7968,44.2909,43.9913,56.5818,23.1351,15.4998,36.1516,46.3449,36.7468
"RIN3",13.1234,13.8258,18.8285,11.6605,13.4537,12.5182,6.4563,18.8508,7.7083,14.5646
"LGMN",223.5947,153.3535,126.9316,128.2299,124.8689,172.8634,94.5266,158.3356,92.2814,117.327
"ALKBH1",11.2194,8.7847,13.6462,9.2077,10.0179,13.9141,16.0428,8.3474,8.7115,8.8841
"SNW1",63.5748,55.8726,78.5208,54.7311,58.9527,68.1182,43.8845,58.3043,59.7221,56.9672
