"from_symbol","to_symbol","combined_score"
"CYP51A1","LSS",0.999
"CYP51A1","HMGCS2",0.921
"CYP51A1","CYB5A",0.764
"CYP51A1","CH25H",0.976
"CYP51A1","FAXDC2",0.972
"CYP51A1","IDI1",0.942
"CYP51A1","PPIG",0.891
"CYP51A1","SQLE",0.998
"CYP51A1","ACAT2",0.732
"CYP51A1","HMGCR",0.948
"CYP51A1","CYB5B",0.767
"CYP51A1","TM7SF2",0.996
"CYP51A1","MSMO1",0.996
"USP28","OTUB1",0.726
"USP28","USP15",0.704
"USP28","RPS27A",0.932
"USP28","KDM1A",0.708
"USP28","USP20",0.71
"USP28","TP53BP1",0.998
"USP28","USP5",0.816
"USP28","UBC",0.991
"USP28","USP2",0.772
"USP28","USP13",0.76
"USP28","USP4",0.718
"USP28","UBA52",0.951
"USP28","UBB",0.93
"USP28","USP14",0.766
"USP28","MYC",0.966
"USP28","CHEK2",0.852
"USP28","CLSPN",0.9
"USP28","USP8",0.844
"USP28","FBXW7",0.966
"USP28","TP53",0.806
"SLC7A2","ARG2",0.831
"HSPB6","HSPB8",0.793
"HSPB6","TSG101",0.709
"HSPB6","HSPB1",0.902
"HSPB6","DNAJB1",0.776
"HSPB6","HSP90AA1",0.783
"HSPB6","SHQ1",0.766
"HSPB6","HSP90AB1",0.783
"HSPB6","HSPA4",0.842
"HSPB6","SFN",0.916
"HSPB6","YWHAG",0.83
"HSPB6","BAG3",0.938
"HSPB6","HSPD1",0.799
"HSPB6","YWHAZ",0.701
"PDK4","ANGPTL4",0.739
"PDK4","DLAT",0.817
"PDK4","PDK2",0.795
"PDK4","PPARGC1A",0.838
"PDK4","VDAC1",0.829
"PDK4","PPARD",0.702
"PDK4","PDHA1",0.881
"PDK4","HSPA9",0.904
"PDK4","CYCS",0.718
"PDK4","PDHX",0.785
"PDK4","PDP2",0.717
"PDK4","PDK3",0.795
"PDK4","SLC2A4",0.753
"PDK4","ITPR3",0.817
"PDK4","PPARA",0.74
"USH1C","GJB2",0.732
"USH1C","MYO7A",0.999
"USH1C","MYO7B",0.985
"USH1C","CDHR2",0.9
"USH1C","VEZT",0.829
"USH1C","SERGEF",0.772
"USH1C","WHRN",0.95
"USH1C","ESPN",0.736
"USH1C","CIB2",0.819
"USH1C","LHFPL5",0.786
"USH1C","SLC4A7",0.85
"USH1C","CDHR5",0.909
"USH1C","ANKS4B",0.995
"RALA","RALGAPB",0.892
"RALA","FLNB",0.815
"RALA","MAPK9",0.925
"RALA","EXOC5",0.96
"RALA","RHOA",0.93
"RALA","PLD1",0.984
"RALA","RGL3",0.723
"RALA","EXOC8",0.999
"RALA","RASA1",0.988
"RALA","RALBP1",0.999
"RALA","AKT1",0.729
"RALA","RABIF",0.734
"RALA","SYNJ2BP",0.782
"RALA","ARF6",0.722
"RALA","RALGAPA2",0.854
"RALA","EXOC6B",0.819
"RALA","STAT4",0.755
"RALA","EXOC3",0.871
"RALA","MAPK8",0.926
"RALA","PPP2R1B",0.869
"RALA","CALM3",0.827
"RALA","RAC2",0.932
"RALA","RALB",0.938
"RALA","KRAS",0.759
"RALA","REPS2",0.774
"RALA","RAC3",0.913
"RALA","RGL2",0.981
"RALA","RAB8A",0.749
"RALA","HRAS",0.831
"RALA","EXOC1",0.929
"RALA","EXOC4",0.988
"RALA","SLC2A4",0.788
"RALA","RALGPS2",0.732
"RALA","LRPAP1",0.881
"RALA","PLCD1",0.827
"RALA","CALM1",0.849
"RALA","RAF1",0.849
"RALA","YBX3",0.774
"RALA","FLNC",0.789
"RALA","SRC",0.874
"RALA","EXOC6",0.85
"RALA","EXOC7",0.891
"RALA","RAB11A",0.703
"RALA","RALGDS",0.999
"RALA","EXOC2",0.999
"RALA","PLD2",0.974
"RALA","RGL1",0.989
"RALA","FLNA",0.93
"RALA","ARF3",0.746
"BAIAP2L1","WASL",0.936
"BAIAP2L1","WAS",0.769
"BAIAP2L1","ALG5",0.814
"BAIAP2L1","EPS8",0.78
"BAIAP2L1","WASF2",0.761
"BAIAP2L1","ALG3",0.841
"BAIAP2L1","CDC42",0.871
"BAIAP2L1","BAIAP2",0.828
"BAIAP2L1","ALG12",0.84
"TMEM132A","HSPA5",0.723
"DVL2","CXXC4",0.915
"DVL2","GNAQ",0.911
"DVL2","FRAT1",0.921
"DVL2","WWP2",0.765
"DVL2","NOTCH3",0.93
"DVL2","VANGL1",0.994
"DVL2","AP2M1",0.721
"DVL2","DVL3",0.99
"DVL2","KLHL12",0.821
"DVL2","FZD3",0.882
"DVL2","DACT1",0.992
"DVL2","TRIM29",0.856
"DVL2","FZD5",0.964
"DVL2","WWOX",0.898
"DVL2","FRAT2",0.904
"DVL2","CTNNB1",0.93
"DVL2","DVL1",0.991
"DVL2","AXIN2",0.969
"DVL2","NXN",0.762
"DVL2","NOTCH1",0.931
"DVL2","DAB2",0.786
"DVL2","RHOA",0.717
"DVL2","NKD2",0.957
"DVL2","SMURF2",0.762
"DVL2","WWP1",0.742
"DVL2","WWTR1",0.942
"DVL2","ARRB2",0.981
"DVL2","CSNK2B",0.94
"DVL2","FZD4",0.985
"DVL2","PRICKLE3",0.97
"DVL2","FZD7",0.964
"DVL2","FZD2",0.956
"DVL2","NOTCH2",0.926
"DVL2","AMOTL1",0.7
"DVL2","CSNK2A2",0.918
"DVL2","CSNK1D",0.875
"DVL2","CCDC88C",0.814
"DVL2","CELSR1",0.784
"DVL2","NKD1",0.962
"DVL2","LRP6",0.993
"DVL2","FZD8",0.937
"DVL2","AMOT",0.708
"DVL2","SQSTM1",0.779
"DVL2","APC",0.964
"DVL2","FZD1",0.928
"DVL2","BAMBI",0.934
"DVL2","CSNK1A1",0.723
"DVL2","GSK3B",0.976
"DVL2","ITCH",0.762
"DVL2","AXIN1",0.999
"DVL2","WNT5A",0.978
"DVL2","VHL",0.757
"DVL2","CSNK2A1",0.943
"DVL2","PARD6A",0.958
"DVL2","SENP2",0.906
"DVL2","CSNK1E",0.967
"DVL2","PLK1",0.914
"DVL2","ARRB1",0.929
"DVL2","CUL3",0.732
"DVL2","NOTCH4",0.914
"DVL2","FZD6",0.933
"DVL2","DAAM1",0.978
"DVL2","VANGL2",0.994
"DVL2","INVS",0.942
"DVL2","WNT11",0.88
"DVL2","ADAR",0.75
"DVL2","DAAM2",0.936
"DVL2","WNT4",0.747
"DVL2","SMURF1",0.737
"DVL2","LRP5",0.88
"DVL2","WNT5B",0.746
"DVL2","RNF43",0.796
"RPAP3","TTI2",0.762
"RPAP3","PDRG1",0.987
"RPAP3","TELO2",0.749
"RPAP3","STIP1",0.709
"RPAP3","RUVBL1",0.999
"RPAP3","PIH1D1",0.999
"RPAP3","POLR3A",0.882
"RPAP3","POLR1D",0.732
"RPAP3","PTGES3",0.876
"RPAP3","GPN1",0.935
"RPAP3","RPAP2",0.963
"RPAP3","ASB7",0.778
"RPAP3","PPP1CC",0.868
"RPAP3","POLR3B",0.823
"RPAP3","EFTUD2",0.762
"RPAP3","URI1",0.977
"RPAP3","HSPA8",0.778
"RPAP3","INTS3",0.811
"RPAP3","POLR1A",0.823
"RPAP3","POLR2J",0.936
"RPAP3","POLR2F",0.701
"RPAP3","HSP90AA1",0.99
"RPAP3","TTI1",0.766
"RPAP3","CDC37",0.772
"RPAP3","RUVBL2",0.999
"RPAP3","TARBP2",0.904
"RPAP3","HSP90AB1",0.992
"RPAP3","HSPA4",0.75
"RPAP3","PPP1CA",0.85
"RPAP3","NOP58",0.705
"RPAP3","POLR3E",0.749
"RPAP3","WDR92",0.995
"RPAP3","TSC1",0.706
"RPAP3","DNAAF2",0.782
"RPAP3","GPN3",0.719
"RPAP3","ZNHIT2",0.711
"RPAP3","UXT",0.989
"RPAP3","PFDN2",0.986
"RPAP3","PFDN6",0.996
"RPAP3","RPAP1",0.931
"RPAP3","POLR2E",0.988
"RPAP3","POLR2B",0.817
"RPAP3","POLR2L",0.748
"RPAP3","POLR1C",0.831
