""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"," Hour 029"
"TRAFD1",9.420459127,9.353346238,9.461971761,9.495884257,9.229189762,9.322008136,9.532680486,9.534917938,9.340384937,9.275377474,9.430152487,9.449021625,9.144579367,9.319613506,9.079990374,9.595687617
"TXNL4A",7.679651163,7.886486475,7.722372376,7.918626951,8.089985984,7.937019557,7.922360581,7.818953076,7.940463891,7.943892346,7.836105486,7.976096537,7.921811719,7.898154929,8.011674946,7.870256091
"PNPLA6",9.590746481,9.130694389,9.708091088,9.787785186,9.650635511,9.52355808,9.498051653,9.650536624,9.517987152,9.540608523,9.532050313,9.609517415,9.352912598,9.471998539,9.387822037,9.518845838
"UTS2",4.170638714,3.827150571,3.897290644,4.148068873,4.035599188,3.869451847,3.853766965,4.000622218,3.95643217,3.793898883,4.020386822,4.081237297,3.785889255,3.858647421,3.889087104,4.078745291
"GADD45G",5.433713914,5.63327269,5.908931019,5.270450441,5.295145812,5.459543215,5.818923558,5.385073058,5.555178068,5.657813269,5.237069857,5.916194184,5.480743445,5.578796089,5.468678752,5.514779604
"EDAR",7.371970716,7.108319625,7.174529655,7.009964192,7.527004582,7.199997443,7.097914609,6.940812903,7.108779599,7.27036008,7.09688811,7.14070262,7.540339099,7.070341075,7.28725516,7.045477639
"PAPOLA",8.579227324,9.204529483,8.775292002,9.14055161,9.107025646,9.116343611,8.76962484,8.960334062,9.134119092,8.788372044,8.981306782,8.842940444,9.158963868,9.103818672,9.14759094,9.130459007
"TCERG1",8.931038412,9.221326628,9.03871946,9.129126153,9.195615207,9.085672464,8.947969313,9.043528021,9.213700423,8.925612606,8.984302807,8.845952945,9.228085034,8.967382428,9.010856674,8.968708483
"MAGED2",9.194036675,9.11126935,9.10848857,9.283075465,9.243899826,9.186741469,9.189447216,9.065253136,9.198441526,9.240050749,9.133467939,9.185917606,9.313361712,9.182805698,9.21213235,9.088176589
"BTNL3",6.40750112,6.277547035,6.340029451,6.335720285,6.126247724,6.230409654,6.569419514,6.441230739,6.30112408,6.545271345,6.461067415,6.707393744,6.126403598,6.537072619,6.164228928,6.155789911
"EHMT2",8.000071613,7.586474161,7.756510592,7.91356746,7.839782487,7.759063817,7.801360731,7.735543985,7.874545568,7.930228106,7.738866342,7.920874159,7.666459846,7.607640689,7.760083932,7.765039431
"COPS8",7.114764685,7.615240794,7.27634445,7.444945298,7.742787477,7.33229206,7.215233833,7.253644499,7.54731398,7.334996244,7.19704232,7.290538724,7.768313363,7.356863602,7.461443388,7.303141625
"RNPS1",9.692959784,9.596442457,9.665232014,9.731752386,9.791225541,9.685962696,9.644009572,9.65992957,9.747131231,9.611157215,9.602358836,9.644415905,9.717665771,9.674344298,9.707819015,9.699225354
"FASTK",9.001836467,8.855311731,8.807654757,8.838298819,9.196790871,8.871419838,9.018173669,8.821689486,9.040979595,9.042297684,9.051219191,8.985673488,9.192742206,9.059445378,9.232793199,8.824774625
"SUB1",7.110177673,7.444460479,7.321758914,7.266612331,7.736839379,7.335489599,7.258810041,7.206290024,8.107390997,7.378432344,7.245232038,7.184967184,8.044950486,7.385267669,7.573686327,7.322856656
"SMPDL3A",6.755267709,7.433977442,7.279818971,7.554397499,7.653197432,7.176507331,7.150286253,7.534613137,7.483306874,6.980780417,7.234808316,7.065302546,7.496635723,7.269153838,7.03202847,7.269592953
"DBF4",6.573062595,7.004564629,6.740531474,7.225889746,7.530832278,6.941428933,6.833757446,6.708168984,7.274323971,6.744575858,6.745017297,6.534980182,7.397148923,7.244377922,7.453283617,6.707261792
"SPIN1",6.336500352,6.310547123,6.329526787,5.900186161,6.329298936,6.525546916,6.360779305,6.651020408,6.380528071,6.687113819,6.674560767,5.941405648,6.264064245,6.112870724,6.604743579,7.069593476
"RALBP1",10.58275252,10.30139098,10.5470103,9.620437878,9.70190431,10.54795204,10.46757173,10.64214084,10.04199957,10.70958083,10.97606488,10.37828175,10.2944195,10.04868026,10.46938042,10.6897244
"SRSF8",8.357443726,8.797715367,8.363849016,8.676796206,8.784435159,8.679979137,8.585441643,8.378717173,8.628602391,8.583369899,8.56567504,8.664783953,8.863040873,8.701667379,8.852903049,8.508390124
"APOBEC2",5.834869865,5.834999389,6.182379188,5.79477884,6.136100648,5.727648002,5.970683118,5.85764813,5.790928426,5.85735024,6.069118622,5.996909955,5.963711276,5.804477307,5.768673813,5.85821316
"MORF4L1",10.85493206,11.43890559,11.07198564,11.28403314,11.60126586,11.31477025,11.27032602,11.36261919,11.35914531,11.08699994,11.15112016,11.13324545,11.58829593,11.39635463,11.50229999,11.20675223
"PRDX3",9.230321887,10.05347059,9.710362486,9.966745189,10.09404577,9.826714834,9.768412545,9.901894045,9.921860875,9.723312041,9.725387756,9.632013822,10.14076016,9.881491535,9.941397974,9.937358633
"GPR75",4.452282412,4.327811664,4.560256913,4.419720001,4.222148391,4.332209283,4.526652616,4.43035574,4.343040065,4.662369297,4.524791035,4.543389112,4.182819351,4.536416874,4.472077004,4.276293096
"EHD1",9.834179984,9.461610854,9.717783447,9.499411917,9.077648822,9.6167416,9.655289867,9.532306774,9.441364125,9.465821569,9.781459622,9.625436149,9.248529445,9.474110359,9.229852823,9.630578911
"AFG3L2",7.266274765,7.331996904,7.121037665,7.278844618,7.562725648,7.127519413,7.246015918,7.296753503,7.418528945,7.336092841,7.232078876,7.209013508,7.410703177,7.377829633,7.46069457,7.29638368
"UGT2A1",4.000983924,3.750645001,3.700627361,3.80967302,4.235330781,3.816072007,3.777080582,3.809901912,3.932457503,3.99973939,4.044099687,3.829986653,3.775880312,3.962514307,3.949327194,3.882770111
