""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"AKT3",4.6228568,4.589497581,4.756287994,4.290926671,4.353738039,4.467964991,4.602658015,4.551677019,4.398449082,4.587774135,4.651370999,4.47799713,4.943241508,4.771465442,4.489303267,4.60054072
"MED6",8.049052763,8.229558536,7.845035998,8.509564687,8.352997144,8.114342595,8.207678703,8.2703055,8.349157184,8.320648691,8.324081088,8.192110972,7.988967501,7.883661214,8.404424793,8.220083196
"NR2E3",4.647956448,4.561690083,4.605947062,4.435750149,4.637180074,4.690466677,4.620060802,4.616769797,4.593432047,4.59899256,4.577312321,4.625514667,4.702254628,4.835722678,4.575323342,4.635682369
"NAALAD2",3.645139845,3.734421848,3.731328615,3.751540495,3.500784472,3.611221603,3.626015052,3.535638434,3.820388052,3.895339341,3.752673853,3.673958142,3.873602395,3.646349182,3.804887335,3.914378193
"NAALADL1",6.282443099,6.477137451,5.942634212,6.424493635,6.422065134,6.111063756,6.130871333,6.076065475,6.11147359,6.075642394,6.475244317,5.966014329,6.316553503,6.284613192,6.460945647,6.67932079
"ACOT8",8.481426273,8.343489432,8.309324713,8.480057126,8.56882643,8.45542234,8.358633469,8.526361651,8.511149156,8.607268119,8.65075677,8.452478723,8.667876016,8.546321076,8.525314129,8.709072659
"ABI1",9.255915427,9.58123352,9.219968358,9.759946351,9.675245492,9.43552933,9.581158295,9.80249203,9.833408466,9.815382739,9.532982928,9.442436187,8.961227182,9.125277489,9.797689963,9.56126534
"GNPDA1",8.190783203,8.28502727,7.96216171,8.482881742,8.470463546,8.301412201,8.323532063,8.347414744,8.356553188,8.598761202,8.560610185,8.636662802,8.603445894,8.631760307,8.797140778,8.891230517
"ZBTB33",3.73550602,3.526752286,3.420061457,3.526415905,3.614560918,3.565932903,3.704739297,3.728643633,3.588685868,3.700170429,3.672714026,3.55640302,3.560597131,3.605562692,3.516613734,3.65314543
"CDH2",4.611759635,4.517295912,4.979016006,4.498024015,4.451733082,4.683019045,4.850240913,4.753226579,4.600241879,4.647801891,4.593271513,4.642509558,4.558450681,4.671558613,4.550555018,4.438397379
"TANK",8.776255633,8.95125419,8.8569288,9.071958999,8.984818577,8.836400145,9.127745231,9.497331255,10.20583092,9.727234045,9.221396069,9.364237366,8.710642888,9.040157484,9.369744242,8.918835838
"HDAC6",7.831347655,7.701554373,7.754530749,7.634422711,7.593348055,7.680637648,7.585723261,7.595184868,7.773568943,7.832528112,7.754150374,7.749318234,8.118524641,8.122051015,7.661116766,7.874964069
"HDAC5",8.799570758,8.775063613,8.840350633,8.623957033,8.883700084,8.688813461,8.700704725,8.745718261,8.504523118,8.579029498,8.61904041,8.407677954,8.785310023,8.776549502,8.536867266,8.863696562
"PDCD6IP",10.7627012,10.88974582,10.57165755,10.90165259,10.83353967,10.68825019,10.79747437,10.74082024,10.60202253,10.85831791,10.81602285,10.97615079,10.90253006,10.76697389,10.89399179,10.86463114
"PDCD6",9.39310082,9.421856438,9.396429542,9.754451768,9.653720637,9.325631593,9.516256714,9.596251327,9.509886771,9.542568384,9.608171076,9.277105334,9.269817752,9.126460496,9.546755251,9.57183284
"BCL2L10",4.847414864,4.995527129,5.25947711,4.645840359,4.871304089,5.01175793,4.832435994,4.948909267,5.140474216,4.750075774,4.931508405,5.089580908,5.16766542,5.124917348,4.888258639,4.740433052
"BCL2L11",5.234375729,5.244422186,4.966428087,5.049169744,5.045788351,5.041007576,4.969847163,5.430939357,5.582646554,5.272525493,4.959813558,5.231584771,5.198604405,5.075283274,5.043044862,4.807801251
"SH2B3",10.62134048,10.78715922,10.43391418,10.66744994,10.71297805,10.56314109,10.61492019,10.41944498,10.73176684,11.09207703,10.86388073,11.02197902,10.93346188,10.85871719,11.04643986,10.96537152
"CDH3",5.626693678,5.396572209,5.758358738,5.367742565,5.600198463,5.612494289,5.519291114,5.326840379,5.525791911,5.485438596,5.461130055,5.53638358,5.427457468,5.499009475,5.467551078,5.592312315
