""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 036"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"AKT3",4.585036345,4.465523954,4.534590709,4.73610732,4.811618153,4.431211695,4.628693113,4.360277178,4.403175296,4.456531248,4.626749166,4.421839731,4.494630141,4.488378217,4.452446436,4.50236418
"MED6",7.441921838,8.125339548,8.082996531,8.379901366,8.143123305,8.424970096,8.263536372,8.189978487,8.133645982,8.085335997,7.836643433,8.315616497,7.74846249,8.21328677,8.315447343,8.00963337
"NR2E3",4.737437441,4.466034703,4.561619191,4.575442833,4.841116634,4.400446728,4.702877903,4.507396424,4.734677056,4.841380956,4.801563809,4.584178243,5.030139898,4.587607359,4.762933957,4.441849966
"NAALAD2",3.56899762,3.4981479,3.548069174,3.912394492,3.634671669,3.649809634,3.694890995,3.827924786,3.757862167,3.606067731,3.705033096,3.727949173,3.776763817,3.666436378,3.807968077,3.77416979
"NAALADL1",6.215836637,6.31421721,6.521759824,6.452638206,6.51898471,6.612534659,6.397718002,6.158758595,6.292267906,6.24441247,6.420819878,6.517407519,6.355673531,6.363256628,6.41922938,6.648452586
"ACOT8",8.213596547,8.247213191,8.399190195,8.384644881,8.640227045,8.333075971,8.378918246,8.497986091,8.601493398,8.775381644,8.663656825,8.641347044,8.962008188,8.461480525,8.861313458,8.77872843
"ABI1",9.149119802,9.503539705,9.487430821,9.173280533,9.454908751,9.80963321,9.363615506,10.31486426,10.16685817,9.647496461,8.781672383,9.640312902,8.632438892,9.345265833,9.401222309,9.291264822
"GNPDA1",8.276983359,8.393014297,8.480087553,8.317613321,8.418973825,8.356839234,8.345571815,8.255736135,8.254088191,8.511229972,8.752497346,8.702970127,8.470808675,8.69312628,8.885318011,8.586852601
"ZBTB33",3.661735281,3.512315899,3.477589939,3.411390586,3.586560798,3.544235278,3.637480008,3.736670387,3.608701739,3.742672708,3.345306504,3.80702342,3.615596043,3.589645868,3.697450101,3.368594096
"CDH2",4.896887575,4.618660935,4.681448617,4.721821442,4.6294359,4.589171108,4.604936266,4.78144102,4.669591356,4.779309706,4.687966192,4.671119238,4.881642489,4.73485465,4.377990287,4.572646712
