"SYMBOL","ENTREZID","Description"
"BCAP31",10134,"B-cell receptor-associated protein 31"
"CELA3A",10136,"elastase 3A, pancreatic"
"YAF2",10138,"YY1 associated factor 2"
"ARFRP1",10139,"ADP-ribosylation factor related protein 1"
"CDH15",1013,"cadherin 15, M-cadherin (myotubule)"
"TOB1",10140,"transducer of ERBB2, 1"
"AKAP9",10142,"A kinase (PRKA) anchor protein (yotiao) 9"
"FAM13A",10144,"family with sequence similarity 13, member A1"
"G3BP1",10146,"GTPase activating protein (SH3 domain) binding protein 1"
"SUGP2",10147,"splicing factor, arginine/serine-rich 14"
"EBI3",10148,"Epstein-Barr virus induced gene 3"
"ADGRG2",10149,"G protein-coupled receptor 64"
"MBNL2",10150,"muscleblind-like 2 (Drosophila)"
"ABI2",10152,"abl interactor 2"
"CEBPZ",10153,"CCAAT/enhancer binding protein zeta"
"PLXNC1",10154,"plexin C1"
"TRIM28",10155,"tripartite motif-containing 28"
"AASS",10157,"aminoadipate-semialdehyde synthase"
"PDZK1IP1",10158,"PDZK1 interacting protein 1"
"ATP6AP2",10159,"ATPase, H+ transporting, lysosomal accessory protein 2"
"CDH17",1015,"cadherin 17, LI cadherin (liver-intestine)"
"FARP1",10160,"FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)"
"LPAR6",10161,"purinergic receptor P2Y, G-protein coupled, 5"
"LPCAT3",10162,"membrane bound O-acyltransferase domain containing 5"
"CHST4",10164,"carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 4"
"SLC25A13",10165,"solute carrier family 25, member 13 (citrin)"
"ZNF197",10168,"zinc finger protein 197"
"SERF2",10169,"small EDRK-rich factor 2"
"CDH18",1016,"cadherin 18, type 2"
"DHRS9",10170,"dehydrogenase/reductase (SDR family) member 9"
"RCL1",10171,"RNA terminal phosphate cyclase-like 1"
"SORBS3",10174,"sorbin and SH3 domain containing 3"
"CNIH1",10175,"cornichon homolog (Drosophila)"
"RBM7",10179,"RNA binding motif protein 7"
"CDK2",1017,"cyclin-dependent kinase 2"
"RBM5",10181,"RNA binding motif protein 5"
"LHFPL6",10186,"lipoma HMGIC fusion partner"
"TNK2",10188,"tyrosine kinase, non-receptor, 2"
"CDK3",1018,"cyclin-dependent kinase 3"
"TXNDC9",10190,"thioredoxin domain containing 9"
"RNF41",10193,"ring finger protein 41"
"ALG3",10195,"asparagine-linked glycosylation 3 homolog (S. cerevisiae, alpha-1,3-mannosyltransferase)"
"PRMT3",10196,"protein arginine methyltransferase 3"
"PSME3",10197,"proteasome (prosome, macropain) activator subunit 3 (PA28 gamma; Ki)"
"MPHOSPH9",10198,"M-phase phosphoprotein 9"
"MPHOSPH10",10199,"M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)"
"CDK4",1019,"cyclin-dependent kinase 4"
"ADAM8",101,"ADAM metallopeptidase domain 8"
"MPHOSPH6",10200,"M-phase phosphoprotein 6"
"NME6",10201,"non-metastatic cells 6, protein expressed in (nucleoside-diphosphate kinase)"
"DHRS2",10202,"dehydrogenase/reductase (SDR family) member 2"
"CALCRL",10203,"calcitonin receptor-like"
"TRIM13",10206,"tripartite motif-containing 13"
"PATJ",10207,"InaD-like (Drosophila)"
"USPL1",10208,"ubiquitin specific peptidase like 1"
"EIF1",10209,"eukaryotic translation initiation factor 1"
"CDK5",1020,"cyclin-dependent kinase 5"
"TOPORS",10210,"topoisomerase I binding, arginine/serine-rich"
"FLOT1",10211,"flotillin 1"
"DDX39A",10212,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 39"
"PSMD14",10213,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 14"
"SSX3",10214,"synovial sarcoma, X breakpoint 3"
"OLIG2",10215,"oligodendrocyte lineage transcription factor 2"
"PRG4",10216,"proteoglycan 4"
"CTDSPL",10217,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like"
"KLRG1",10219,"killer cell lectin-like receptor subfamily G, member 1"
"CDK6",1021,"cyclin-dependent kinase 6"
"GDF11",10220,"growth differentiation factor 11"
"TRIB1",10221,"tribbles homolog 1 (Drosophila)"
"GPA33",10223,"glycoprotein A33 (transmembrane)"
"CD96",10225,"CD96 molecule"
"PLIN3",10226,"mannose-6-phosphate receptor binding protein 1"
"STX6",10228,"syntaxin 6"
"COQ7",10229,"coenzyme Q7 homolog, ubiquinone (yeast)"
"CDK7",1022,"cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)"
"RCAN2",10231,"regulator of calcineurin 2"
"MSLN",10232,"mesothelin"
"RASGRP2",10235,"RAS guanyl releasing protein 2 (calcium and DAG-regulated)"
"HNRNPR",10236,"heterogeneous nuclear ribonucleoprotein R"
"SLC35B1",10237,"solute carrier family 35, member B1"
"DCAF7",10238,"WD repeat domain 68"
"AP3S2",10239,"adaptor-related protein complex 3, sigma 2 subunit"
"MRPS31",10240,"mitochondrial ribosomal protein S31"
"CALCOCO2",10241,"calcium binding and coiled-coil domain 2"
"KCNMB2",10242,"potassium large conductance calcium-activated channel, subfamily M, beta member 2"
"GPHN",10243,"gephyrin"
"RABEPK",10244,"Rab9 effector protein with kelch motifs"
"TIMM17B",10245,"translocase of inner mitochondrial membrane 17 homolog B (yeast)"
"SLC17A2",10246,"solute carrier family 17 (sodium phosphate), member 2"
"RIDA",10247,"heat-responsive protein 12"
"POP7",10248,"processing of precursor 7, ribonuclease P/MRP subunit (S. cerevisiae)"
"GLYAT",10249,"glycine-N-acyltransferase"
"SRRM1",10250,"serine/arginine repetitive matrix 1"
"SPRY1",10252,"sprouty homolog 1, antagonist of FGF signaling (Drosophila)"
"SPRY2",10253,"sprouty homolog 2 (Drosophila)"
"STAM2",10254,"signal transducing adaptor molecule (SH3 domain and ITAM motif) 2"
"CNKSR1",10256,"connector enhancer of kinase suppressor of Ras 1"
"ABCC4",10257,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4"
"CDK9",1025,"cyclin-dependent kinase 9 (CDC2-related kinase)"
"IGSF6",10261,"immunoglobulin superfamily, member 6"
"SF3B4",10262,"splicing factor 3b, subunit 4, 49kDa"
"IRX5",10265,"iroquois homeobox 5"
"RAMP2",10266,"receptor (G protein-coupled) activity modifying protein 2"
"RAMP1",10267,"receptor (G protein-coupled) activity modifying protein 1"
"RAMP3",10268,"receptor (G protein-coupled) activity modifying protein 3"
"ZMPSTE24",10269,"zinc metallopeptidase (STE24 homolog, S. cerevisiae)"
"CDKN1A",1026,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)"
"AKAP8",10270,"A kinase (PRKA) anchor protein 8"
"FSTL3",10272,"follistatin-like 3 (secreted glycoprotein)"
"STUB1",10273,"STIP1 homology and U-box containing protein 1"
"STAG1",10274,"stromal antigen 1"
"NET1",10276,"neuroepithelial cell transforming gene 1"
"UBE4B",10277,"ubiquitination factor E4B (UFD2 homolog, yeast)"
"EFS",10278,"embryonal Fyn-associated substrate"
"PRSS16",10279,"protease, serine, 16 (thymus)"
"CDKN1B",1027,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"
"SIGMAR1",10280,"opioid receptor, sigma 1"
"BET1",10282,"BET1 homolog (S. cerevisiae)"
"SAP18",10284,"Sin3A-associated protein, 18kDa"
"SMNDC1",10285,"survival motor neuron domain containing 1"
"BCAS2",10286,"breast carcinoma amplified sequence 2"
