""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"AKT3",4.504404706,4.525096614,4.596223119,4.394360974,4.473721918,4.437693146,4.503529223,4.343671184,4.630228089,4.461325756,4.397835138,4.630843031,4.403335233,4.275330004,4.572091506
"MED6",7.993541315,8.129300034,8.164531215,8.195517502,8.160817035,8.232086222,8.154399126,8.227461768,8.278418672,8.21615124,8.30412946,8.175377292,8.306804699,8.261346285,7.844451095
"NR2E3",4.537538672,4.41385326,4.444098948,4.579907956,4.501044356,4.41876279,4.350684838,4.436022844,4.459266926,4.448771516,4.456339196,4.423729063,4.32451934,4.297250253,4.443849142
"NAALAD2",3.507977838,3.657601008,3.557966447,3.810686176,3.834731439,3.538911553,3.604975206,3.710620627,3.732506668,3.355462407,3.701929756,3.906791791,3.631412861,3.772704457,3.644596784
"NAALADL1",6.081735751,6.086163103,6.17182067,6.141804758,6.339463039,6.201124729,6.339387683,6.338523578,6.482625554,6.305363527,6.283302026,6.541103893,6.42071965,6.247837116,6.282365716
"ACOT8",8.345402813,8.434284814,8.40682349,8.439868518,8.481539353,8.413733406,8.572983946,8.503692819,8.304268295,8.453576518,8.524562947,8.521386805,8.430061422,8.55970811,8.483152417
"ABI1",9.550966983,9.548810323,9.740907467,9.515107354,9.940762316,9.876536032,9.914620141,10.00731564,9.705477541,9.959193029,9.881155094,9.630246671,10.13960417,9.978871362,9.756770519
"GNPDA1",8.16346693,8.252521522,8.123802759,8.393675895,8.197575083,8.139982722,8.406913536,8.245296542,8.198198499,8.162197457,8.13634102,8.164957542,8.130712076,8.139657424,8.209373946
"ZBTB33",3.583882778,3.446066265,3.646094653,3.66339926,3.487164754,3.567963968,3.652848075,3.441934001,3.334969168,3.506468827,3.652954007,3.53355123,3.477412236,3.435078562,3.557489775
"CDH2",4.766161022,4.673954908,4.807129683,4.757588078,4.792741887,4.758028513,4.749339497,4.59620843,4.618823335,4.790982967,4.63755167,4.624536674,4.606663863,4.507761399,4.662462592
"TANK",8.820904573,8.817980635,9.257603275,8.738166391,9.099873515,9.17339947,9.022336449,9.190253999,8.764885894,9.116099728,9.273338093,8.77308761,9.344292556,9.226531792,8.8958329
"HDAC6",7.90129421,7.79628858,7.651216019,7.914991422,7.638853224,7.486862995,7.641258797,7.574642034,7.881695609,7.599296258,7.581811662,7.807564247,7.50826662,7.536322803,7.859002177
"HDAC5",8.568601451,8.477475284,8.450214208,8.313186669,8.530725186,8.315275873,8.476685275,8.352012675,8.200321484,8.393190321,8.202102424,8.2189241,8.141653045,8.295464394,8.125828025
"PDCD6IP",10.69651851,10.75151628,10.66921871,10.9267501,10.65568728,10.65260148,10.75782446,10.7325621,10.6698735,10.67467071,10.60237105,10.49155262,10.63494261,10.58242368,10.43340021
"PDCD6",9.460735514,9.526360735,9.707240691,9.505587864,9.6630045,9.741725379,9.701139561,9.843324638,9.805823939,9.590385086,10.05229847,9.774887596,9.920943901,9.97592077,9.705723124
"BCL2L10",4.950250741,4.839073122,4.912532728,4.992220516,4.726655639,4.614108893,4.656496114,4.581308619,4.853809108,4.642171098,4.625854379,4.720448581,4.781512707,4.551527165,4.786018121
"BCL2L11",4.740156206,4.943919762,4.99249982,4.694632119,4.564179362,4.75087938,4.616566042,4.417350005,4.114425363,4.779310005,4.496271033,4.291617181,4.374375942,4.586437324,4.318765529
"SH2B3",10.52797443,10.71421865,10.3928286,10.35408963,10.40913765,10.30180322,10.30134581,10.12818769,9.968851809,10.28266182,9.949085897,10.05453887,10.14957272,9.993313212,9.946391102
"CDH3",5.780554226,5.67223878,5.458710447,5.58347323,5.431176331,5.625713748,5.625577454,5.339836755,5.736572058,5.484683429,5.608927966,5.54212809,5.378145167,5.449355897,5.705627656
"GNE",7.451388289,7.448652434,7.350910505,7.602720192,7.425837708,7.325847864,7.673149658,7.544546005,7.646323208,7.468804871,7.37911921,7.436109147,7.427864148,7.447949142,7.370162865
"HCN4",4.803079194,4.475205544,4.886650515,4.500107567,4.701506685,4.481413077,4.530259562,4.310311361,4.553734457,4.669513716,4.480475375,4.488186421,4.544649824,4.336728352,4.596514677
"INSL5",4.433624184,4.328702932,4.416586442,4.170508249,4.201518888,4.0496426,4.368416018,3.996955466,4.190485242,4.373928587,4.271170758,4.487541131,4.171603575,4.13277171,4.307789947
"FRAT1",11.14175883,11.03095324,11.11860583,10.33722838,11.01643168,10.88127174,10.79722537,10.59546358,9.725321255,11.03184775,10.4922341,9.936037764,10.77172342,10.59295974,9.681064203
"TROAP",5.796446784,5.482903058,5.706266025,5.670874934,5.510249741,5.496602043,5.495848275,5.664604841,5.620931403,5.462834576,5.544561252,5.785970738,5.36886596,5.474081767,5.695789475
"MED16",8.484231661,8.305168082,8.163405122,8.365025971,8.223115987,8.113483411,8.32286326,8.075113277,8.08465361,8.321414337,7.904574568,8.147060944,7.94841884,7.913826652,7.994304559
"PIGK",5.20789537,5.65530622,6.366043201,5.791578276,6.208310807,6.662306343,6.747234589,7.396799253,7.390232745,6.453181596,7.547847431,7.336872098,7.619917328,7.605777791,7.624305256
"CDH4",4.317319096,4.311537216,4.379320843,4.334744962,4.445317317,4.16283646,4.252368713,4.08134174,4.36792806,4.251070645,4.163048722,4.151615454,4.317274497,4.275819185,4.421518157
"CHAF1A",6.439852407,6.33158577,6.235578443,6.339367534,6.135701234,6.149021082,6.334796985,6.214225873,6.182485835,6.218524795,6.238128441,6.300848698,6.187416494,6.062844856,6.209154228
"PARP2",6.810078755,7.064108021,6.869519358,7.051011677,6.899398238,6.867123223,7.088230985,7.117489255,7.153112413,6.870588006,6.975671213,7.112204284,7.100042851,7.067219986,6.926875741
"PARP3",6.66253535,6.529647936,6.568397826,6.580220817,6.388050221,6.536817873,6.666190928,6.63468616,6.773709685,6.712303608,6.574442222,6.820833172,6.496090338,6.674162272,6.618951312
"CDH5",4.284274542,4.451081,4.418851219,4.398416191,4.353043641,4.369472141,4.264224128,4.274686424,4.430143357,4.393115241,4.400301479,4.384402869,4.306776572,4.431459915,4.41806663
"TOM1L1",3.721029089,3.712675732,3.76405167,3.533260068,3.493504482,3.781798673,3.673354587,3.709940552,3.621139687,3.635971238,3.625559884,3.582771512,3.616817408,3.762947176,3.702737872
"HMGXB4",8.239915378,8.297245518,8.273567371,8.296034561,8.335396562,8.200128347,8.40866229,8.301897208,8.36968099,8.280392978,8.28575818,8.351655793,8.354017827,8.289212531,8.254905504
"TOM1",8.102041762,8.008978611,8.026875236,7.72515029,7.911381136,7.762076648,7.79146437,7.650264582,7.226641972,7.87088835,7.37691344,7.353750259,7.52296971,7.592915778,7.202379517
"SH2D3A",5.952126223,5.913514072,5.815656773,6.134814449,6.315559582,5.969298926,6.308614212,6.227025149,6.573418768,6.137260452,5.99156483,6.531354456,6.346273324,6.150288128,6.435640007
"MAMLD1",4.9863117,4.716045438,4.783126943,4.718499247,4.70272779,4.625026572,4.686123552,4.718902217,4.958188661,4.627077112,4.800040082,4.866133098,4.711315071,4.689184185,4.758295902
"RANBP9",7.974594701,8.103563321,8.054001548,8.179327582,8.071002945,8.114834145,8.13716235,8.089265279,8.067777278,8.102892753,8.21440825,8.036153673,8.101685885,8.20999308,7.924803627
"DNAJB6",8.96654443,8.987760325,8.99176919,8.801793406,9.024785109,8.958237539,8.880599395,8.825806001,8.496780352,8.931144669,8.798227787,8.505009269,8.912364184,8.94700382,8.790616686
"CDH6",3.836003993,3.842862937,3.866579287,3.8466097,3.846912118,3.767650815,3.737283416,3.732701685,3.797655399,3.781233049,3.826706943,3.710568393,3.705947351,3.771857664,3.70082869
"SLC17A4",4.982717038,5.008820154,5.217972343,5.31110386,4.939953312,4.918706853,4.726122247,4.768637829,5.0517823,4.822374916,4.890944168,4.85520064,4.781034366,4.86602566,4.732055615
"SMC4",6.791040404,7.114781063,7.416649066,7.126700933,7.369897207,7.414499514,7.670101947,7.930891224,7.778452143,7.28232727,7.989272374,7.572874963,7.782014149,8.089177483,7.756810564
"GJC1",4.783525448,5.037597519,4.774855649,4.672507616,4.737562209,4.498118609,4.520961865,4.52023065,4.87818524,4.516415398,4.613249716,4.693287527,4.672987098,4.642043425,4.634712841
"AP1M2",6.794267228,6.742494452,6.767163934,6.567533935,6.610746229,6.471946853,6.467860765,6.30211232,6.438118191,6.543325819,6.535132698,6.557805781,6.313751441,6.444454114,6.690151825
"UBA2",9.453514164,9.458924424,9.795608586,10.11434966,10.03993248,10.03712081,10.38912218,10.50712653,10.64389572,10.0545326,10.3413099,10.56826362,10.5412911,10.57822321,10.63191613
"SAE1",9.286011514,9.268003034,9.362902594,9.583799446,9.442079359,9.371582019,9.628515875,9.655732272,9.829821493,9.484513784,9.577930718,9.874068149,9.455970881,9.599142691,9.690199238
"ABCC5",8.789737005,8.91440641,8.662519065,8.709569537,8.462828762,8.556060826,8.581896583,8.527255859,8.349345412,8.506108586,8.498320077,8.376222093,8.405534556,8.483769074,8.050201596
"ABCB6",6.023577939,6.025983588,5.837404451,6.081870266,6.004318191,5.897535529,6.033912465,5.948405755,5.945635542,6.027574577,5.870882213,5.992900516,5.919961165,6.007862495,6.272720171
"DNM1L",6.291071004,6.552099705,6.722278964,6.919250222,6.702277731,6.826803229,6.960466002,7.184797159,7.157455599,6.656627734,7.061757893,6.97623504,7.147061391,7.244423278,7.005627543
"CDH7",4.708210604,4.675660439,5.129625406,4.784629322,4.598858926,4.587175769,4.641264246,4.593016116,4.771838921,4.8025091,4.76443007,4.741400485,4.748808841,4.485176503,4.965691391
"ABCC9",3.982139786,3.931065243,4.021359762,3.841137463,3.861740733,3.83249878,3.961400722,3.89628245,4.004807542,3.882946109,3.924989765,3.837643649,3.898639845,3.799882697,3.875883015
"ABCF2",7.328120736,7.4428625,7.145107363,7.438661578,7.286054918,7.189124228,7.4845881,7.316747743,7.538425563,7.309462075,7.274882536,7.463898293,7.274967407,7.29343794,7.33953354
"NR1H3",5.32252726,5.227173241,5.355913028,5.3420728,4.916285549,5.310824001,5.463779492,5.405718282,5.196190313,5.317401213,5.442222555,5.333188653,5.482384878,5.30621603,5.107158004
"SCAMP2",9.710235868,9.660856143,9.415246063,9.730240761,9.518231352,9.464254903,9.499825923,9.239514945,9.19463843,9.433761262,9.271262461,9.418790665,9.193410987,9.202262794,9.361003985
"SCAMP3",9.523399882,9.665758465,9.301993173,9.794225295,9.33895241,9.34076586,9.605623665,9.48991164,9.583008832,9.27885249,9.276109074,9.590683706,9.186926813,9.265153523,9.448790901
"RWDD2B",7.00599743,7.185135076,7.148639199,7.12632639,6.977852816,7.053296722,7.240389512,7.126215971,7.286504211,7.082003795,7.197547877,7.477586125,7.177469772,7.111990742,7.177123001
"CDH8",4.799947633,4.601616081,4.686290601,4.680513276,4.618999279,4.58723014,4.372078053,4.248696335,4.546982552,4.589723089,4.536504316,4.54412924,4.353772292,4.602164127,4.690265457
"DPP3",7.375220693,7.429777789,7.274255698,7.576699381,7.392738831,7.156566486,7.344002526,7.329164581,7.360290452,7.064775296,7.06559631,7.102644978,7.262323243,7.292560894,7.095601077
"SNUPN",7.855384825,7.966070236,8.026145947,8.232470631,8.158445129,8.017134642,8.225275761,8.144321149,8.34874916,8.042689102,8.196774849,8.392701899,8.0995226,8.213220977,8.279843257
"HUWE1",7.798698818,7.750970197,7.596949948,7.770757327,7.463796077,7.630405259,7.565967561,7.392280395,7.572942001,7.493670639,7.396616644,7.533970775,7.305651339,7.268157417,7.538663815
"PTPRU",6.86979381,6.94633653,6.99713762,6.791757603,6.781084347,6.910230757,6.904070337,6.588259711,6.776551688,6.8804402,6.817230144,6.956108694,6.592530794,6.660895608,7.024846797
"TSPAN32",9.41843851,9.440523618,9.186819765,9.69604614,9.180706483,9.149265057,9.572024118,9.230287854,9.524765477,9.210051199,9.178619654,9.741953312,9.046411328,9.126525438,9.350850769
"TSSC4",7.726880565,7.641260486,7.463946668,7.616298648,7.831477276,7.459038769,7.774512364,7.555978174,7.558077843,7.692875604,7.405482526,7.719311035,7.529909651,7.52178498,7.788858554
"CDH9",3.583318795,3.576955941,3.668841958,3.721851061,3.659865904,3.413884469,3.52818224,3.404617192,3.581435538,3.633259753,3.57584027,3.517246832,3.57479276,3.500344819,3.613588806
"USH1C",5.529215796,5.286651756,5.305919981,5.391102621,5.441384394,5.425197953,5.247413053,5.053781945,5.49304022,5.306227283,5.362053292,5.268972529,5.117264948,5.243436158,5.446884957
"PQBP1",8.672429754,8.766944623,8.66808613,8.87404715,8.567479677,8.704397682,8.678801547,8.796329817,8.787749902,8.576132612,8.765318022,8.793291107,8.660087348,8.699225918,8.621053973
"EDIL3",4.122120727,3.997642474,4.122979699,4.07453387,3.964883406,4.114149938,4.06027862,3.958731898,3.929049013,4.05072601,4.124397326,3.889651847,3.959638663,3.894549399,4.327062402
"CERT1",9.129670274,8.843003644,8.782470374,8.584029167,8.993764376,9.093255704,8.949150748,8.988369551,8.762568049,9.042221513,8.85795904,8.941252195,8.974389603,8.920082222,8.965593882
"KCNK7",6.276894727,6.134397824,6.195076959,6.236591361,6.082937138,6.08586505,5.959581178,5.83680837,6.071376349,5.97952638,6.053753408,5.754207526,5.874373502,5.950706156,5.78988366
"CDH10",4.646998795,4.38435613,4.602689895,4.426193965,4.494373396,4.396418371,4.404900215,4.197553095,4.516229699,4.203714602,4.372730087,4.399049472,4.278795611,4.441036934,4.517480913
"UST",4.633413934,4.788992987,4.617176105,4.784008575,4.955932638,4.851395349,4.936929089,5.09516215,5.059081657,4.885206406,4.895432498,5.036441973,5.006386499,5.102789572,5.168268087
"ARPC5",12.42834889,12.46980274,12.69342556,12.29276477,12.51715834,12.60112462,12.49063328,12.5025867,12.08979924,12.53300484,12.49917619,12.08187817,12.52701359,12.45959148,12.10953713
"ARPC4",10.13758813,10.04849406,10.12206575,9.825539484,10.0992598,10.03899818,10.09666832,9.857209219,9.65543744,10.03796862,9.550418173,9.722725096,9.892332352,9.884003534,9.718416191
"ARPC1B",13.22267494,13.2014971,13.1253603,13.11787177,13.06381901,13.22274495,13.02773275,13.1231153,12.95178642,13.16420588,13.13095862,13.0596389,13.08913777,13.02599321,12.87673512
"ACTR3",11.51510774,11.60041332,12.05443741,11.8537456,12.00697106,12.17732332,12.13425969,12.34597705,12.26877269,12.00547645,12.41309615,12.17962425,12.32568869,12.44993752,12.23756031
"ACTR2",11.17163489,11.28742978,11.48593052,11.35170929,11.32785579,11.5423452,11.41939221,11.54081468,11.2622628,11.41057957,11.58050865,11.27606022,11.47538719,11.41493091,11.29483496
"TSPAN5",9.3742452,8.996581782,8.782961702,9.13606927,9.565046035,8.973981726,9.458399909,9.367211876,9.469612146,9.877849491,9.362709125,9.828111008,10.07649601,9.585636665,10.93794831
"TSPAN3",7.623472399,7.624947136,7.631083643,7.914661554,7.994139213,7.921748062,8.112190473,8.196688106,8.16580667,7.900521732,7.969960808,8.09453493,8.155708233,8.15357965,7.964662642
"CDH11",3.933768927,4.024322801,3.920666744,3.959816135,3.806331231,3.810977757,3.867946735,3.794180408,3.879008076,3.859458735,3.975003289,3.825213145,3.795627286,3.775491573,3.714611442
"ADA",9.200443211,9.209924287,8.996436437,9.297018763,9.161146025,8.973582525,9.264295841,9.133833791,9.297492201,8.989852343,9.189373731,9.185045675,9.062513171,9.059443136,9.047438503
"TSPAN2",5.440594697,5.535465568,5.943792823,5.070419984,5.646542804,5.564881072,5.707011264,5.140632951,5.051742635,5.456964081,5.422883357,4.983401377,5.960948709,4.989743908,5.14286353
"NUBP2",9.049455246,9.288051002,9.131359966,9.308590453,9.397782402,9.324696616,9.326973796,9.241093493,9.520811026,9.309156637,9.212596109,9.345732119,9.24844417,9.287428573,9.282306794
"TSFM",7.567702775,7.808623522,7.547540095,7.866213859,7.713806977,7.746587755,7.754207263,7.709615484,7.933618754,7.63537416,7.720832905,7.847879815,7.760731834,7.836984632,7.76269738
"TSPAN1",6.448937405,6.251583131,6.45840721,6.334995192,6.42121203,6.181023495,6.415074092,6.070857918,6.27051118,6.202707147,6.194294959,6.142615353,6.032962443,6.106964246,6.415764105
"PPIF",9.494771154,9.245036462,9.482012675,8.815223066,9.064724672,9.282231574,9.001732152,8.720550723,8.212014438,9.108110586,8.764977517,8.405045948,8.784448055,8.780506398,8.345495326
"CTDSP2",9.513806719,9.462831758,9.29603781,9.471463236,9.381612001,9.09856438,9.030032948,9.037159138,9.036866014,9.277034291,8.861407141,9.265368459,9.240095358,9.119387872,9.368974485
"TRIM10",5.498304277,5.371136314,5.379586759,5.419457066,5.455164103,5.239655407,5.295991797,5.180853308,5.265657472,5.325965319,5.272682306,5.359301306,5.340380057,5.396607529,5.781717688
"ARPC2",12.84430013,12.97961046,13.14882249,12.87630935,12.97197941,13.19911378,13.02215184,13.25543011,13.15531995,12.9813378,13.46268559,13.16025431,13.23184318,13.30327462,13.08914133
"CDH12",3.644141504,3.548747258,3.525029054,3.469557813,3.58361424,3.681564653,3.45401043,3.513311829,3.453902374,3.45231566,3.645243341,3.682339833,3.44242867,3.414080393,3.522689711
"SGK2",4.762177415,4.594700098,4.114229417,4.678177645,4.758987877,4.533438198,4.520418791,4.351599346,4.603402589,4.528800981,4.577750989,4.545153445,4.487801605,4.461177789,4.542368182
"RAD50",5.687547642,5.905220965,5.719937497,5.677809116,5.906050933,5.860273465,6.161512721,6.294478062,6.427154641,5.857596668,6.330297869,6.26438341,6.193156734,6.317779854,6.264248436
"KIF20A",4.339764181,4.213408747,4.179514932,4.256084446,4.013965277,4.157115439,3.940195361,3.968938497,3.983149752,4.277799589,4.145487717,3.906598509,4.197990847,4.058927102,3.855463933
"PREB",8.83758995,8.970662149,8.697377795,9.077826932,9.061731033,8.891942464,9.02401131,9.082055842,8.920602394,8.863277491,8.860280986,8.882499124,8.889181002,8.982296489,8.873005718
"HIPK3",6.106442915,6.018005842,6.494127008,6.065981427,5.687204732,6.064303385,5.868748753,5.864564169,5.211684586,5.783538207,5.831367496,5.3901112,5.580272139,5.688868151,5.106756869
"FEM1B",5.415204343,5.618562177,5.635597055,5.273001208,5.882184519,5.489775372,5.735655416,5.581966578,5.283499906,5.687038077,5.751995167,5.65022277,5.611513179,5.671671545,5.735261195
"ACTR1B",8.951104767,9.023450164,8.904205325,8.955440649,8.932438415,8.803480629,9.088463948,8.913180456,9.144765755,8.85559469,8.884767893,9.05835699,8.927873968,8.845290662,8.864750106
"ACTR1A",9.289999631,9.237301947,9.094513827,9.163325402,9.160165022,9.086318636,9.008919268,8.963106232,8.819716416,9.122631938,8.852505103,8.842620835,8.90141209,8.906889113,8.75768609
"RASGRP1",10.09537706,10.13241544,10.36385359,10.66873987,10.46386937,10.45751066,10.7149192,10.76894525,11.15218159,10.53210873,10.82694453,11.0056224,10.67135657,10.8511302,10.92395067
"DNAL4",6.614444704,6.437034524,6.383476928,6.212158171,6.706949912,6.300720526,6.474130479,6.402417374,6.12970621,6.619465912,6.21548902,6.572437062,6.355518543,6.525556022,6.305696422
"ZNF263",8.153439022,8.196410392,8.014100899,8.288228774,8.286610495,8.224098588,8.391390203,8.288861884,8.612332107,8.26027463,8.269443783,8.493660607,8.339914102,8.35740341,8.265031108
"LRPPRC",7.94617065,8.182547816,8.24417416,8.474002397,8.472350015,8.51865321,8.707971098,8.861282268,9.083132748,8.467666794,8.748549172,9.04708138,8.878309572,8.937813797,8.931214805
"CDH13",3.862731146,3.751789793,4.187446712,3.65704774,3.845779229,3.846525219,3.967885214,4.252798049,3.633347525,3.710205209,3.966848035,3.65320575,3.825594962,3.774593152,3.75178016
"PDIA6",9.275979429,9.375980218,9.511594471,9.71095766,9.638797478,9.600748739,9.744857688,9.740997189,9.8109185,9.504563905,9.681170758,9.757463406,9.717521325,9.797786187,9.595367692
"TRAP1",8.457728395,8.540952815,8.382946018,8.708704992,8.513922562,8.224048885,8.56098957,8.521479169,8.882026989,8.387618654,8.279224284,8.927075109,8.390967301,8.451683951,8.292283534
"OPTN",8.634037092,8.580166189,8.509332841,8.998454221,9.184469245,8.725934698,9.245473012,9.054673358,9.623384316,9.044006347,9.138058094,9.442882716,9.320062101,9.446624849,10.04580539
"BCAP31",12.03967748,12.07481004,11.88277875,12.08610643,12.02754908,11.90775809,12.00037534,11.94980985,11.96395611,11.92911396,11.94732868,11.88511683,11.84279788,11.94239254,11.71134685
"CELA3A",5.087756998,4.765807317,4.958046718,4.972993346,4.924386695,5.017397056,4.734557556,4.687077892,5.240334636,4.905556103,4.978476795,4.893898324,4.668270067,4.851275024,4.85571388
"YAF2",6.025867118,6.230192908,6.467769921,6.39864403,6.382778798,6.436380923,6.511821043,6.466431723,6.52100168,6.476805989,6.665283903,6.073049954,6.572105959,6.744675907,6.244819229
"ARFRP1",7.491104652,7.507962516,7.299163689,7.584146028,7.423989874,7.325099263,7.385301655,7.36668297,7.26324802,7.329988954,7.412691962,7.451533475,7.250151458,7.194392054,7.367004654
"CDH15",5.340075628,5.221129679,5.143884065,5.241834639,4.975053539,5.157305537,5.260421275,4.988586104,5.099539126,5.044806406,5.181225368,5.085435,4.902355519,4.931531446,5.118704577
"TOB1",9.243988396,9.345870446,9.197763818,9.31980949,9.458058126,9.380376437,9.407167486,9.298405203,9.489852842,9.37165658,9.256666307,9.077170106,9.521019595,9.462263674,9.302811421
"AKAP9",6.72471836,6.799514056,6.803943978,6.872618389,6.612415871,6.800764506,6.70861039,6.97047759,6.829530439,6.802848965,6.810527564,6.684328647,6.716504042,6.767238238,6.824545177
"FAM13A",7.182946679,7.167276518,7.191090251,7.10849197,7.18175089,7.021805562,7.327107873,7.238887112,7.266358347,7.279534548,7.106896796,7.195919826,7.257192846,7.176500537,7.210749959
"G3BP1",8.985507808,8.932617727,9.044265533,9.281301359,8.974230207,8.997424501,9.0716538,9.072936706,9.247602695,8.903865081,8.909849677,9.302810406,8.904688188,8.90742898,9.114854771
"SUGP2",7.740601231,7.664539671,7.562191657,7.733977522,7.466769859,7.71451341,7.727585671,7.70117502,7.954434642,7.574710429,7.707226459,7.843103081,7.555956625,7.664207342,7.624983572
"EBI3",4.80530571,4.843529724,4.751492327,5.049806094,4.471018345,4.732801799,4.756391579,4.658562156,4.376367169,4.479625011,4.829469212,4.668659645,4.594449856,4.654064819,4.855359178
"ADGRG2",4.366431656,4.411051653,4.323910297,4.54578343,4.369784227,4.432066935,4.294324527,4.512132838,4.555369406,4.315871973,4.548926171,4.449636566,4.415557815,4.226962387,4.499571088
"MBNL2",5.282048588,5.476066899,5.525316437,5.638812433,5.492656199,5.670567028,5.62570651,5.515097763,5.542562177,5.600042309,5.339123968,5.448049702,5.566807961,5.389023898,5.675459283
"ABI2",6.7703863,6.774386862,6.65414819,6.730174886,6.639500113,6.51343058,6.489497269,6.291334506,6.545902187,6.527614186,6.543064627,6.669408322,6.517767957,6.376017693,6.831895684
"CEBPZ",6.488725435,6.958163904,7.555633328,7.557669252,7.394937902,7.719486485,8.001777603,8.305327398,8.530383019,7.506156603,8.350479334,8.465635646,8.417799599,8.570441762,8.705215314
"PLXNC1",9.267843962,9.118881175,9.373922474,8.360086206,8.757727753,9.163486305,8.43481457,8.148571912,7.226155503,8.764025273,8.575681599,7.618131764,8.437287902,8.116169064,7.488585694
"TRIM28",10.10436264,10.19026534,9.731841742,10.40272825,10.10653647,9.957869717,10.26317186,10.18569186,10.37361138,10.0756359,10.04634015,10.27180209,9.886323911,9.892694935,10.27247794
"AASS",4.647418702,4.575537629,4.483642404,4.467055296,4.467465472,4.532029524,4.444274658,4.650186449,4.617068468,4.444462952,4.63349154,4.764349321,4.508652131,4.428777369,4.465679304
"PDZK1IP1",10.64258867,10.74228212,10.02179031,10.67660998,11.11896484,9.695464168,10.48101773,10.05662652,9.854986423,10.88497712,10.16235767,10.69750646,11.08648027,10.55458064,11.82864554
"ATP6AP2",10.9077897,11.0321264,11.11013153,11.22150802,11.08683728,11.22315678,11.24073441,11.22756633,10.93293083,11.16339262,11.1790836,10.93225339,11.21871237,11.19875719,11.00406345
"CDH17",4.749728713,4.986805109,4.773461372,4.699893339,4.778081552,4.735369997,4.782480304,4.388963374,4.760839023,4.638752051,4.757831104,4.656058923,4.41960922,4.687931716,4.545307228
"FARP1",4.785997028,4.783948712,4.845649439,4.824938016,4.706500942,4.743457851,4.764293676,4.612391195,4.688289723,4.781313817,4.646996906,4.720251897,4.615189558,4.527680168,4.787916434
"LPAR6",6.450417804,6.735781885,7.552829274,7.152533224,7.420504385,8.165804614,8.333133863,9.301813181,9.197461826,7.696029121,9.558475675,9.093981346,9.252352052,9.742492055,9.425303362
"LPCAT3",6.86961025,6.740680357,6.584359435,6.586294325,6.158069339,6.741015112,6.641345105,6.543706091,6.002143137,6.565476522,6.427776766,6.227553617,6.087152446,6.360181282,6.034258816
"CHST4",5.819474724,5.534530549,5.861137054,5.469225855,5.719404031,5.653116769,5.677860692,5.280842821,5.595684398,5.601803561,5.632142891,5.532373294,5.511854913,5.499851877,5.500647697
"SLC25A13",5.381339614,5.662723234,5.555393191,5.5638398,5.754718226,5.589792308,6.157059597,6.215440365,5.708391492,5.823491344,5.834881293,5.630333497,6.181623361,6.030351289,5.673433036
"ZNF197",4.778144619,4.608714132,4.3920562,4.75300121,4.457954205,4.469396578,4.477513186,4.563275199,4.695304585,4.298009915,4.537571437,4.432198389,4.444666132,4.713895654,4.595784139
"SERF2",11.49022534,11.59264931,11.65250042,11.83502085,11.87511002,11.65482063,11.66402516,12.02612718,11.94089894,11.72860134,12.24260344,12.03473388,12.17512644,12.24012762,12.42746024
"CDH18",4.907679139,5.102432807,4.619252598,4.925555125,4.692470791,4.706532202,4.569969194,4.654332036,4.789073051,4.861833571,4.914154697,4.75930699,4.484825332,4.58216938,4.923860123
"DHRS9",9.2456411,9.07008976,9.501469251,8.095398144,8.842988761,9.191076091,8.61574915,8.76100124,8.081695884,8.934521906,8.943246556,8.323393572,8.818241383,8.907101323,8.094681614
"RCL1",7.748635047,7.686112739,7.502314338,7.669827222,7.623837133,7.813186583,7.863011777,7.426808529,7.672963467,7.716072781,7.6433911,7.791245596,7.627077031,7.610575605,7.759894544
"SORBS3",6.465652375,6.382861963,6.266887924,6.549282924,6.178893546,6.50929809,6.341743856,6.063339072,6.467692137,6.220758649,6.20989828,6.613397634,5.922597091,6.087801172,6.501251914
"CNIH1",8.749071924,8.98712476,9.232053239,9.333875868,9.634954299,9.539827361,9.769475395,9.904411936,9.823392364,9.53964362,9.889965645,9.65376772,10.05471885,9.959214516,9.912079579
"RBM7",7.765415827,8.072021639,8.457820297,8.041301114,8.484601003,8.623139517,8.532254948,8.940591647,8.816349011,8.416843745,8.770942153,8.587248469,9.041612638,9.000515537,8.635739398
"CDK2",7.261587742,7.376531022,7.223516608,7.278762647,7.369134832,7.300065881,7.289455781,7.394088162,7.196230528,7.335325224,7.144299012,7.172728213,7.265844914,7.377332153,7.232498138
"RBM5",11.59035486,11.66487066,11.49857622,11.51349757,11.4636702,11.53288628,11.57563367,11.5810785,11.57597683,11.40846901,11.54696961,11.50117546,11.51588946,11.53617829,11.29620524
"LHFPL6",4.125515191,4.199967578,3.825908633,4.065821534,4.018936493,3.918161848,3.936903506,4.232067196,3.929525315,4.044760157,4.105735356,4.187110161,4.239648309,4.063557493,4.076090465
"TNK2",7.566252525,7.361050379,7.277552283,7.407198879,7.231354672,7.263996606,7.309459624,7.263029424,7.254788791,7.297207508,7.213561605,7.305051319,7.01653534,7.090354286,7.225295337
"CDK3",7.077485036,7.076019402,7.07466724,7.033917283,6.901979857,6.969674045,6.683578921,6.80159429,7.014515251,6.892633421,6.96908963,6.865057518,6.807852594,6.837580656,7.000840137
