""," Baseline"," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"SEPHS2",9.293770422,9.51593839,9.606161,9.319104729,9.591392751,9.782952262,9.637382929,9.779843501,9.747507895,9.637646694,9.703088383,9.738575204,9.757166375,9.842357435,9.633311796
"SEPHS1",7.436293879,7.390985557,7.290581349,7.570818815,7.495212702,7.35503928,7.606007412,7.848888563,7.727398375,7.606819248,7.863536424,7.642088968,7.677943045,7.723115951,7.586014854
"RAB3GAP1",8.079516983,8.209989988,8.248214263,8.244250872,8.024575874,8.096115848,8.115073419,8.150775316,8.363223539,8.113678952,8.168877324,8.340438071,8.014339291,7.992889342,8.093810329
"SIRT2",9.012464204,8.936068891,8.735507103,8.997478744,8.881172046,8.685049745,8.810288107,8.614273385,8.633171387,8.838706244,8.6808856,8.830805736,8.662671984,8.567766771,8.824027045
"RPIA",9.296703396,9.49380204,9.487674588,9.533305225,9.822619541,9.297109994,9.72901861,9.726207916,9.837964437,9.835197811,9.753630239,10.15619247,10.40603531,10.15650146,10.61704523
"ELL2",4.859283176,5.065042249,5.018370781,4.739314893,5.460655196,4.959514267,5.32831169,5.230485554,4.927388734,5.113071147,5.38128195,5.682962919,5.880987674,5.576460332,6.253330306
"SCAP",9.056967137,9.022896595,8.796232489,8.972358633,8.877532643,8.801919835,8.994429167,8.697237208,8.680177172,8.92801647,8.804116611,8.746229261,8.770080717,8.586643781,8.677662121
"SNW1",9.19534298,9.393790009,9.319653191,9.472420387,9.39714443,9.431751024,9.520955791,9.567219073,9.586758405,9.370098639,9.644648537,9.55837278,9.529881688,9.500554749,9.504876928
"SHANK2",4.369928139,4.365868264,4.404629462,4.390353724,4.410511691,4.335070218,4.210336171,4.054962125,4.325158256,4.212219648,4.316173063,4.276004878,4.209013861,4.096155468,4.251105313
"DKK1",4.198257692,4.164525522,4.199327517,4.049368971,4.087111902,4.218469444,4.070732924,3.990045215,4.045957237,4.183509109,4.001375766,4.225905233,4.13202292,4.100225199,4.115902217
"KIN",6.01025283,6.14221756,6.342736926,6.341980581,6.582641076,6.697049958,7.113923219,7.134017801,6.579034344,6.53761108,7.147630955,7.093165264,7.361405743,7.370380051,7.247373875
"CCT5",9.937822179,9.907553622,10.0950664,10.12710912,9.960165079,10.13773288,10.07327983,10.29416815,10.27851918,9.984981852,10.27817744,10.21053062,10.07724815,10.28342089,10.25312827
"FOXF1",4.113461195,4.197398884,4.194559163,4.153188356,3.864317962,4.009648616,4.108664436,3.757657679,3.982080929,3.854939019,3.876149508,3.897313722,3.894405377,3.865525418,3.967289134
"P2RX2",5.192438636,5.197249865,4.976266663,5.103336748,5.103403567,5.03870236,4.998049319,4.952715015,5.161017556,5.087507913,5.225373347,5.259842667,5.061364982,4.917867869,5.245677227
"TRIM32",7.489725447,7.574001839,7.438477099,7.650181679,7.619763578,7.616650085,7.743494442,7.559235787,7.800062825,7.600421125,7.34347152,7.745768583,7.576692531,7.512297975,7.453536902
"SCMH1",6.558480895,6.795806888,6.527818668,6.789128558,6.816144694,6.535726366,6.84880072,6.711273643,6.976867247,6.755974579,6.419082539,6.831044995,6.62421713,6.653711604,6.79914556
