""," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"OLFM1",5.896452991,5.808410437,5.658957733,6.093690494,5.939489933,5.91203881,5.632373034,6.747833337,5.708050403,5.741768225,5.72384253,5.786218022,5.952265776,5.752923245
"CD52",9.863543922,9.841727867,9.872008985,9.479380289,9.9323886,9.387510305,9.82173048,8.532670162,8.944705955,8.556071948,9.468811922,9.723066107,9.900457919,9.617357338
"TIMM17A",6.942904004,6.956140788,7.140635841,6.544116871,6.806286608,6.926691663,6.975729194,5.327209403,6.731871023,6.684870555,6.846306391,6.992987246,6.780757065,6.762960045
"N4BP2L2",8.747681806,8.946670088,8.904813833,8.07612396,8.524405783,8.705664203,8.597207554,7.108170122,8.661685149,8.410556851,8.231214401,8.617722934,8.38143556,8.194902482
"ZER1",8.114001993,7.797929114,7.512367922,8.19120532,7.934918249,7.867809076,7.693784832,7.656684502,7.928853494,8.218992273,8.106721985,7.89973451,7.909640885,8.019206384
"MCRS1",8.745836261,8.815786675,8.797463674,8.675943654,8.909504582,8.782268018,8.80392178,9.19587269,8.615044346,8.593610398,8.429903709,9.041832914,8.673950143,8.756482679
"ACAA2",9.98308847,9.514232921,9.927482864,9.639427835,9.41047235,9.932927488,9.674326243,8.831364401,9.740231649,9.711328165,9.858194745,10.27944223,9.843443241,9.789256265
"CDX1",7.190664387,7.311121377,7.068486472,7.993677474,7.29767262,7.263022948,6.976304347,8.044962983,7.223230697,7.437207165,7.484899578,7.283084722,7.570885025,7.407282609
"PPIE",7.853335408,7.732780355,7.882640976,7.629524282,7.755396692,7.771031081,7.685289306,7.229270356,7.462637881,7.190711602,7.634171385,7.785772985,7.609230995,7.605508095
"VAV3",7.633474791,7.851666675,7.500788893,6.773691728,7.459445534,7.592024697,7.825315043,6.70447231,7.901925142,8.123589603,7.59828825,7.692783959,7.55695506,7.590732283
"TOMM40",7.325857543,7.136748296,7.318707015,7.59546213,7.235451211,7.161432196,7.27798666,6.379870598,7.152150894,6.949981857,7.083771678,7.253018762,7.0240538,7.125654075
"TAB1",8.219869343,7.989213659,8.212337869,7.980348573,8.089079529,8.098598168,8.07091149,7.455333082,7.947545177,7.513626614,7.965340473,8.005862138,8.221362047,8.120584245
"ECI2",8.337137922,8.414357655,8.752963668,8.370894433,8.285221542,8.466757809,8.585319951,7.39823121,8.016437698,7.774434256,8.183811396,8.620075282,8.432973667,8.462416002
"HAX1",9.26685877,9.162315532,9.227033333,9.111172293,9.300657551,9.199749659,9.231951569,8.930479111,9.182460664,8.899704431,9.356661094,9.371459479,9.359190088,9.385806312
"GPNMB",3.981229671,4.175857838,3.953229563,4.246486025,4.175119609,4.019884085,4.078531858,4.064833363,3.906087229,4.031962875,3.933342335,4.035513157,4.226503023,4.100935782
"BAIAP2",5.852893568,5.759363536,5.680255045,6.142499237,5.801138815,5.750089614,5.714086649,6.657100332,5.694891648,5.637369302,5.829275732,5.922286754,5.968463369,5.837891577
"CDX2",5.487139555,5.443220207,5.393797518,6.026248504,5.500416257,5.461316975,5.384221278,6.673720686,5.480073396,5.505688198,5.644454706,5.337797979,5.796396225,5.619208297
"TACC3",10.0837902,9.970818066,10.13565618,9.913991048,10.16552011,10.07950485,10.00961491,9.460436902,9.330902066,9.110639805,9.191405419,9.787855029,9.596291941,9.577984307
"MERTK",5.066368291,4.614100694,4.821884216,5.217939406,4.807138724,5.047985868,4.752004914,5.60994848,4.937535182,5.312415603,5.302599288,5.393013649,5.536683752,5.283426564
"CLEC10A",8.168020249,8.084124473,8.447847628,7.857911651,8.375286302,7.784516351,7.885130602,8.318974048,7.70722242,7.577286784,7.902461022,7.836006466,7.74509575,7.875907207
"SLC30A9",7.051756569,6.934784192,6.962897139,6.121725082,6.419147346,6.651826965,6.822457086,5.11969046,6.602613229,6.679087591,6.417299343,7.047321348,6.760889295,6.375892887
