""," Hour 00"," Hour 005"," Hour 012"," Hour 021"," Hour 029"," Hour 045"," Hour 053"," Hour 060"," Hour 069"," Hour 077"," Hour 084"," Hour 093"," Hour 101"," Hour 108"
"AKT3",4.435588496,4.409727063,4.459008141,4.885743517,4.443048849,4.403431227,4.539761402,5.089731302,4.381721906,4.606919272,4.549687783,4.552619709,4.71977994,4.760258833
"MED6",8.073534298,8.173327587,8.272964344,7.165741872,8.009994507,8.006555963,8.190828065,6.507129671,8.012160916,8.009340823,7.493724996,8.092888005,7.50830969,7.777878424
"NR2E3",4.497621765,4.62994699,4.442071313,4.928770807,4.477877901,4.357208397,4.358467846,5.469191217,4.492301676,4.4558292,4.704474,4.516617608,4.392777171,4.706289927
"NAALAD2",3.530403865,3.854429567,3.633083113,4.006948829,3.827231816,3.968199711,3.576650512,3.814513054,3.765682354,3.937485441,3.523219506,3.821686748,3.730618928,3.655576958
"NAALADL1",6.549820222,6.559307829,6.539712806,6.526694397,6.482970073,6.370279725,6.439744222,6.706127356,6.349654712,5.976276907,6.290825182,6.639501183,6.309404997,6.157071689
"ACOT8",8.434728109,8.291699595,8.343881874,8.474214941,8.409178621,8.45192326,8.356109658,8.659918365,8.392747282,8.419481562,8.503955367,8.726331855,8.623868626,8.704695322
"ABI1",9.409604016,9.486734257,9.493080146,8.169055938,9.334178724,9.413491488,9.628240884,7.620400561,9.738378402,9.769676046,9.407742897,9.545808786,9.110629297,9.33545347
"GNPDA1",8.506324302,8.34516825,8.437449622,8.390464498,8.33743959,8.416888279,8.380052184,7.871072068,8.25008762,8.402512453,8.508272927,8.948593319,8.753127911,8.494970544
"ZBTB33",3.509000393,3.547722094,3.431624112,3.594314324,3.427669391,3.63637456,3.542520858,3.411880741,3.531850063,3.612189114,3.453513447,3.554832048,3.4957585,3.428204825
"CDH2",5.00437682,4.962712509,4.704845934,5.102299499,4.920569791,4.889855508,4.671066067,5.246009874,4.642586314,4.681187288,4.590777224,4.756815804,4.934965822,4.74548262
"TANK",8.6682123,8.747042536,8.685579214,7.698770994,8.625220754,8.799544331,9.113707645,8.024692705,9.749089816,9.826511922,9.403355003,8.969229027,8.517296004,8.716508003
"HDAC6",7.954459342,7.851942845,7.960060236,8.349000726,7.861660112,7.792839374,7.806287808,8.213425517,7.879725772,7.765766131,7.872584114,8.057394479,8.098449658,7.947139678
"HDAC5",8.661781249,8.651718996,8.645776807,8.622672394,8.81927832,8.618101654,8.63395079,8.219590134,8.543192162,8.24750515,8.286083737,8.641160399,8.414957207,8.610472183
"PDCD6IP",10.52122807,10.57348459,10.73329626,10.11645071,10.64820554,10.53971518,10.60610312,9.753535255,10.59026855,10.59577716,10.438873,10.8164615,10.53364019,10.73905836
"PDCD6",9.495838471,9.48100408,9.577176631,9.157923954,9.429576264,9.497737932,9.47866746,8.874437481,9.376165377,9.31864743,9.257223682,9.481882652,9.410633816,9.336677911
"BCL2L10",4.696660158,4.935349387,4.549435556,5.220414027,4.850592562,4.77798554,4.819676119,6.652424171,4.81362308,5.083895698,4.849457311,4.95712268,5.317758561,4.770536758
"BCL2L11",4.873204237,4.509178887,4.579814049,4.57489953,4.793496772,4.700919866,4.600934418,5.287593333,4.610958538,4.801773881,4.926841248,4.687550966,4.365375778,4.710554812
"SH2B3",10.71240756,10.64625059,10.39452915,10.06196035,10.60755035,10.46259614,10.43784182,9.950522805,10.70195998,10.96709212,10.74088751,10.99660669,10.7263427,10.78649778
"CDH3",5.850249108,5.457545252,5.517712296,5.963998487,5.778354399,5.502445289,5.5152665,7.349561887,5.429317562,5.42425312,5.504184663,5.582192879,5.73236334,5.520300292
"GNE",7.484682818,7.558483829,7.954554448,7.114534793,7.377979903,7.523276864,7.606066712,5.802033277,7.209362688,7.311533473,7.307581887,7.618404109,7.362964777,7.390711401
"HCN4",4.66166537,4.582486147,4.621185141,5.371751231,4.772003604,4.821979176,4.695752094,5.372053708,4.743073764,4.998270713,4.824342946,4.889846592,4.849258059,4.754801927
"INSL5",4.441634492,4.374223834,4.233024044,4.590902657,4.226514795,4.319258293,4.34182479,5.305076666,4.213855645,4.313699348,4.707554137,4.35886852,4.658029614,4.502903932
"FRAT1",11.0380212,10.75288227,10.48206766,10.58719346,11.0958615,10.97608485,10.87319507,10.00123391,11.11624087,11.07070198,10.74819967,10.78216681,10.62015859,10.60867119
"TROAP",5.593065952,5.468951571,5.277795431,5.698937248,5.346069315,5.504198736,5.566808782,6.362452421,5.702742768,5.761564456,5.792672023,5.718698702,6.154638844,5.935499469
"MED16",8.565032205,8.547962733,8.577271213,8.764538816,8.750901894,8.661340984,8.491997315,8.310517876,8.475768255,8.287445145,8.359722301,8.655471703,8.280481862,8.445574221
"PIGK",5.034795745,5.113265333,5.578360891,4.96593985,4.979395159,5.413613534,5.44480652,5.300336637,4.918367295,5.188817152,5.298440201,5.484625767,5.205863182,5.403663682
"CDH4",4.495885981,4.378441528,4.438956927,5.092080798,4.461930032,4.562404213,4.309744748,5.293496664,4.316570207,4.792458545,4.523997455,4.622334415,4.855377197,4.603810169
"CHAF1A",6.395632875,6.199972901,6.338639707,6.480256943,6.351238881,6.223726069,6.336758694,6.836866211,6.152126263,6.358015193,6.573913551,6.49031542,6.518720282,6.414693511
"PARP2",6.783514176,6.791327247,7.006062292,6.525850977,6.610578339,6.750069732,6.757152796,7.030190734,6.302818033,5.922809914,6.237317415,6.850198995,6.493590861,6.591971455
"PARP3",6.748395314,6.318928172,6.591759306,6.994386645,6.63420653,6.600418685,6.586323174,6.60173156,7.015677224,6.95710585,7.02436023,7.229710864,6.906815561,6.702939496
"CDH5",4.428785284,4.258954896,4.276828948,5.334055613,4.478230955,4.210154254,4.338928879,4.349893736,4.559381342,4.386840438,4.526907569,4.503363024,4.64503857,4.419424393
"TOM1L1",3.681695138,3.645501153,3.627202948,3.72754425,3.765578734,3.660026806,3.656670382,4.073867772,3.765437999,3.668608761,3.616544272,3.792932263,3.639350288,3.651687553
"HMGXB4",8.097442994,8.107679436,8.372916046,8.195334969,8.087006409,8.263442279,8.231415879,7.010909064,8.107673817,8.001357016,8.140204905,8.391397438,8.094456854,8.143873443
"TOM1",8.178743425,8.045644747,7.834963017,7.952989289,8.268947841,8.101594997,7.978909987,7.611301186,8.259571484,8.160778504,8.360593576,8.301031088,8.130605054,8.190873396
"SH2D3A",6.358629373,6.047609624,6.591548048,6.496023659,6.103615605,6.456617626,6.341970772,7.147279936,5.838978288,5.886879335,6.219483795,6.521255133,6.437063331,6.10662286
"MAMLD1",4.906439202,4.985687915,4.869603591,5.025325056,4.902237951,5.018244279,4.994963573,6.878158929,4.948369627,5.164692682,4.944135594,5.132643711,5.33198317,4.840519892
"RANBP9",7.926236555,8.085969786,8.222549641,7.076893071,7.89182323,7.93573053,8.050931073,6.56687159,7.777272511,7.948137373,7.543017078,8.0502844,7.597524199,7.739143602
"DNAJB6",8.625833916,8.774413615,8.843687633,8.17302632,8.855567718,8.805223789,9.119501259,7.450237169,8.957989039,8.868477874,8.553341752,8.47537766,8.105855269,8.570759297
"CDH6",3.752044108,3.835975257,3.806437616,3.894156251,3.876369257,3.868013835,3.836422975,4.161589206,3.850433452,3.88777246,3.893701309,3.809784863,3.88637811,3.856611194
"SLC17A4",4.966603617,5.106313114,4.884076285,5.404207798,5.160102283,4.857227024,4.960465629,6.218782977,5.20819686,5.074086527,5.1280759,5.121890449,5.09660323,5.083460596
"SMC4",7.102525729,7.294004011,7.432290583,5.806766274,6.509368097,6.923250584,7.114756595,5.800809294,6.721155354,6.944050586,6.493401768,7.036212346,6.525142027,6.490897387
"GJC1",4.544906217,4.647731796,4.695024145,5.325956742,4.640546811,4.484094914,4.553083416,5.99078464,4.554231507,5.007662755,4.700212601,4.832004972,4.660120349,4.378964565
"AP1M2",6.607377872,6.617213532,6.461415411,7.368600035,6.719864073,6.703980477,6.516388624,7.251586567,6.700364458,6.925138302,6.939734855,6.657839799,7.118770729,6.818145804
"UBA2",9.524607976,9.970893832,10.10907478,8.891895602,9.435965922,9.816922997,9.864597726,9.270128734,9.387463572,9.38555962,9.268541758,9.884020188,9.445480213,9.481975218
"SAE1",9.470087761,9.450319905,9.657061977,9.331255209,9.323958253,9.48448691,9.441362809,7.718430899,9.224710818,8.915870941,9.150912455,9.56886474,9.381255809,9.370285929
"ABCC5",8.728863734,8.872476913,8.825784654,8.86488117,9.020737276,8.870497833,8.716358621,8.015000413,7.944093473,7.589048342,7.755048843,8.266451702,8.506247746,8.527012283
"ABCB6",6.333930951,6.086409763,6.288854399,6.94558696,6.450453596,6.276002049,6.436333463,6.978346323,5.82215092,5.894708573,6.335714385,6.260613135,6.340816632,6.539213769
"DNM1L",6.308853071,6.333044231,6.654354728,5.685379377,6.093373407,6.367790141,6.448405882,6.077775349,6.509216743,6.505198989,6.436994561,6.57802995,6.04592503,6.161770834
"CDH7",4.811184809,4.812364162,4.569021939,5.351874209,4.902540675,4.99770816,4.765548737,6.715880332,4.922946568,4.998231415,5.028260893,5.056091484,5.102367858,4.945102245
"ABCC9",3.851974541,3.870508426,3.822308987,4.101353371,4.044932992,3.885402765,3.918781853,4.700966022,3.857364653,3.945819429,3.85405958,4.069179189,4.052850794,3.862156675
"ABCF2",7.362547819,7.290889844,7.578598385,7.274045502,7.358192461,7.311507144,7.167417947,7.21818092,7.144794754,7.004267876,7.097670889,7.336442413,7.214223549,7.354783635
"NR1H3",5.479475853,5.353590269,5.451446236,5.465031888,5.38500815,5.637381459,5.445522578,6.405316149,5.518492714,5.526424515,5.875476117,6.080744356,5.368213689,5.700023773
"SCAMP2",9.729234923,9.584553082,9.773482463,9.831550738,9.837862167,9.734730675,9.657536646,9.358845933,9.771599738,9.64799366,9.834614366,9.927378963,10.04153736,10.02519091
"SCAMP3",9.434069455,9.650025268,9.633565819,9.916830688,9.456435822,9.645158889,9.424534815,8.944584907,9.267001525,9.317202324,9.602795959,9.806045373,9.788785544,9.752337129
"RWDD2B",7.314751408,6.934149405,6.874186951,7.338483224,7.090698533,7.237384728,7.041348009,7.939746059,6.787246038,7.157462449,7.123306327,7.386583579,7.315820754,7.265760225
"CDH8",4.547355239,4.915321155,4.509424161,5.217745735,4.539098659,4.561299548,4.437623501,5.135189401,4.935673322,5.129643084,4.677997559,4.787490289,4.865880941,4.676589138
"DPP3",7.357331557,7.216113505,7.400492041,7.226499595,7.331759865,7.322983678,7.208013806,8.134351674,7.293836428,7.246620149,7.16401744,7.695517521,7.524956911,7.410227097
"SNUPN",8.0803652,7.990913268,8.276819132,8.173579429,7.989740939,8.229371027,8.060282809,8.064720966,8.119528207,8.040938056,8.234743975,8.383234437,8.188296225,8.141768823
"HUWE1",7.711697595,7.49614121,7.647867114,7.73938605,7.67030683,7.513194647,7.472827991,7.780815056,7.360016224,7.556214434,7.367477108,7.493909549,7.664048956,7.594468201
"PTPRU",6.757519962,6.905792282,7.03749825,7.770872091,6.940868092,6.855977646,6.891734191,7.224891459,6.866439937,7.076491296,7.417488159,6.876701692,7.039375987,6.996428087
"TSPAN32",8.870472544,8.871925631,8.996701624,9.153064761,9.067781807,8.948086633,8.878409745,8.970987903,8.355153841,7.971011965,8.323198984,8.961842482,9.071264764,8.653001496
"TSSC4",7.75075162,7.793760975,7.768480907,8.036709579,7.801918389,7.863719207,7.734154609,8.186188531,7.811492406,7.638843395,7.803263038,8.098471329,7.555601406,7.599663827
"CDH9",3.412576275,3.494868663,3.556842248,4.286236241,3.605260297,3.524819062,3.512500533,3.708395179,3.687359572,3.558657992,3.736930678,3.526382954,3.813676356,3.652113882
"USH1C",5.354766199,5.278067783,5.382739599,5.728423738,5.292405389,5.197795538,5.370469561,6.240554893,5.356177537,5.394679762,5.30768199,5.47316813,5.539598259,5.280515187
"PQBP1",8.432375773,8.593090624,8.728275819,8.357293377,8.727621049,8.687431376,8.713172037,8.173993112,8.538455256,8.344460824,8.436652062,8.711227336,8.351905902,8.482905692
"EDIL3",3.982308677,4.16890228,3.827144812,4.435093728,4.017700525,4.135649944,3.892312216,5.240839616,4.227228694,4.194414502,4.118324112,4.00312308,4.577602505,4.071883991
"CERT1",9.303354602,8.674522771,9.311383317,8.452514564,9.055651975,9.368644493,9.473708586,8.597807306,9.286677431,9.483332349,9.577357772,9.523071388,9.414301031,8.995739659
"KCNK7",6.24738984,6.366601798,6.000901272,6.76363226,6.27437563,6.250213057,6.066998518,6.513537706,6.450441251,6.205245747,6.284552197,6.373895034,6.425278686,6.31376318
"CDH10",4.652108754,4.482023145,4.323723103,4.725538119,4.368187135,4.722818181,4.303144599,4.798857683,4.550818686,4.644349752,4.539267278,4.686894071,4.871588997,4.663942702
"UST",4.837117949,4.939512171,4.746716831,4.757388669,4.597074267,4.928585016,4.64955028,5.310545957,4.845170869,4.505074532,4.518564299,4.841113856,4.720086336,4.593576421
"ARPC5",12.39251028,12.49509121,12.21828779,11.62647643,12.35742387,12.28258442,12.43155757,11.82478426,12.31438549,12.53299536,12.37282084,12.40998219,12.16825599,12.33071157
"ARPC4",10.15829619,9.848285929,9.886303161,10.05945582,10.20967109,10.01426248,9.98030404,9.515189321,10.10140689,9.855886209,9.739401592,10.18977791,9.897546552,10.18779647
"ARPC1B",13.10050163,13.0198189,13.04770363,12.69224266,13.12155844,13.10576517,13.0446894,12.55951702,12.8375057,12.8964955,12.92457105,12.99043195,12.95188356,13.06384472
"ACTR3",11.53529167,11.75510932,11.76990979,10.760596,11.42954671,11.57827395,11.7017217,10.90488154,11.60752222,11.76462819,11.58790993,11.60270618,11.23880736,11.46031359
"ACTR2",11.20351942,11.11496805,11.19543269,10.19186961,11.03320608,10.92507806,11.13359538,10.26145843,10.82053381,10.91499386,10.55709411,10.7619215,10.52340039,10.58261964
"TSPAN5",10.49064228,9.444171522,9.590492645,9.612770752,9.160997246,9.737215143,10.09201596,8.747193444,9.794753068,11.12103423,10.79480632,9.599110832,10.1290933,9.855952952
"TSPAN3",8.191731918,8.153908532,8.517049875,7.621085759,8.025387618,8.204254609,8.219422708,7.044157102,7.843787921,7.685816138,7.598429306,8.126234718,7.788088948,7.890625526
"CDH11",3.780199098,3.842300979,3.717103634,4.446735618,3.935944678,3.914803899,3.840444762,5.072360135,4.103555175,4.008337448,3.951318812,3.955597804,4.048232632,4.0565648
"ADA",8.865318351,8.728025975,8.822899759,8.947763814,8.892096587,8.960743981,8.849808498,7.841679607,8.670346097,8.47287493,8.860569566,9.458650891,9.283361548,9.252445984
"TSPAN2",5.163797113,5.930495795,5.226570986,4.858592479,5.853798678,5.475925393,6.441315789,4.523342154,6.902035936,6.47708745,5.368739456,5.371576354,5.052446427,4.972487455
"NUBP2",9.123970333,9.070859365,9.045959993,9.349455811,9.260239302,9.242387827,9.140364688,8.784563152,8.920340136,8.824136441,9.02578881,9.204541648,9.094433173,8.913493167
"TSFM",8.012343726,7.770739085,7.908722698,7.801910743,7.914415991,7.889660365,7.858112639,7.920304156,7.822152958,7.651643001,7.70469221,7.842602092,7.686619328,7.870028831
"TSPAN1",6.376040065,6.504998639,6.038754139,6.897052862,6.415902193,6.361586188,6.348398224,7.213795207,6.55701921,6.486169895,6.804374375,6.711861827,6.737404632,6.63838045
"PPIF",9.415243585,9.164154881,8.963497984,8.87293821,9.549392321,8.79890972,9.101906739,8.642120759,9.189372602,9.263644016,9.104110357,9.074687383,8.948368173,9.056573015
"CTDSP2",9.490060946,9.312694427,9.198168045,9.582860118,9.550634513,9.38915566,9.21849582,9.72374939,9.303550164,9.63565151,9.603825526,9.302680058,9.308588502,9.476836997
"TRIM10",5.573351608,5.402644975,5.486133774,5.826981091,5.453593091,5.619855461,5.412041014,5.937511059,5.672269456,6.156649768,6.150260336,5.795299976,5.950832942,5.864135232
"ARPC2",12.70303839,12.60140886,12.62392119,12.37392577,12.70060767,12.67799518,12.6692842,11.91473407,12.44703799,12.43185576,12.54481326,12.53610807,12.54817993,12.39912469
"CDH12",3.521897042,3.658797126,3.549914011,3.737835163,3.69624545,3.453574262,3.519103737,3.79056513,3.564535422,3.563268597,3.627573547,3.590880677,3.761558061,3.477750275
"SGK2",4.637636136,4.605603909,4.649372888,4.775976012,4.890485334,4.710321862,4.598787306,5.237207206,4.595465432,4.758471546,4.835269253,4.900992441,4.957908887,4.340035168
"RAD50",5.844775401,5.697687011,6.184214685,5.288682468,5.656392764,5.824488403,5.75443302,5.32324846,5.661455731,5.425637465,5.309882615,5.868329362,5.5356905,5.713448643
"KIF20A",4.108432646,4.117307761,4.123646579,4.202221487,4.13693014,4.078448619,3.989040124,4.80714069,4.305500213,4.224330031,4.054033345,3.943856667,3.987619943,4.184985676
"PREB",8.63244698,8.634504385,8.915903777,8.638593683,8.683381617,8.822300227,8.632337427,8.71592286,8.825636405,8.482263412,8.636552549,8.901433237,8.492783818,8.705840851
"HIPK3",5.835310309,6.148752449,5.850856529,5.485705831,6.118412615,5.547195834,5.974625392,5.164001298,6.088577735,6.103698202,5.62605792,5.127785883,5.24320111,5.324581362
"FEM1B",5.551146319,5.233615474,5.358279407,5.927013849,5.418638461,5.48222308,5.524940238,6.18704172,5.259987632,5.647054082,6.01463905,5.666600514,5.583686742,5.411987737
"ACTR1B",8.946987238,8.986462563,9.049153759,9.096153205,8.94928663,8.950356197,8.814729796,8.476616012,8.741567762,8.488201577,8.732489715,8.883196164,8.92137644,8.956243131
"ACTR1A",8.997214691,9.061095514,8.979906255,9.017705934,9.255230104,9.048071832,9.164612204,9.028449489,9.127928663,8.923340399,8.965897619,9.194165473,8.995425099,9.067500868
"RASGRP1",10.3774062,10.55573589,10.83992627,9.545713706,9.993735184,10.13293598,10.4055697,8.630738231,9.673541647,9.72276091,9.704128613,10.20295219,10.05305208,9.780418202
"DNAL4",6.738268888,6.483950787,6.699282482,6.384454869,6.632133215,6.548688392,6.421639881,5.684683432,6.19658804,6.242247597,6.343617738,6.787204707,6.452048198,6.68435327
"ZNF263",8.196501949,8.270414777,8.521910515,8.007709476,8.223799502,8.312133827,8.194399442,7.905925882,7.963986073,7.774372001,7.93541286,8.003385207,8.089552118,8.170295681
"LRPPRC",8.411289685,8.546322829,8.870461803,7.647232167,8.07456687,8.394082607,8.432913406,6.836376078,8.068542821,8.104783094,7.8993841,8.433920932,8.216200096,8.097424232
"CDH13",3.815866539,3.838429394,3.611392074,4.245630146,3.802094305,3.895257849,3.765732231,5.231340646,3.882870661,3.742845291,3.86602442,3.975391737,4.008795418,3.821653832
"PDIA6",9.567533902,9.521995655,9.754346248,9.078729999,9.480320433,9.518169222,9.541580406,8.645683465,9.849187847,9.858413154,9.846634157,9.841722,9.456570078,9.509549439
"TRAP1",9.090141072,8.889110451,9.307966868,8.966442398,9.019706777,9.169812458,8.716259982,8.156663075,8.36973228,8.133843278,8.421161931,8.94614428,8.499182229,8.798094965
"OPTN",8.844267416,8.750723365,8.838784369,8.450105125,8.368916612,8.902784297,8.749995401,8.005998769,8.785275784,9.378189201,9.064750966,9.148534565,9.110462532,9.031136032
"BCAP31",12.05451308,12.00609907,12.12106021,11.78306007,12.02368196,12.01710376,11.99205994,11.57956348,11.73776842,11.55826273,11.67083241,12.02113947,11.94270601,11.83516392
"CELA3A",4.93453899,4.997678014,4.950147561,5.297750748,5.125635772,5.194675398,4.903579273,5.369394165,5.152420858,5.175636673,5.28996004,4.990116351,5.162431883,5.288935381
"YAF2",5.756098828,6.237307643,6.167852489,5.721680643,5.995305123,5.977125639,6.136058633,5.630233611,6.16132783,5.979133201,5.568975039,6.256888377,5.427585713,5.737820551
"ARFRP1",7.564687108,7.39627552,7.392948456,7.800540206,7.555844853,7.430183869,7.48425633,7.753021241,7.389928261,7.241568068,7.397657632,7.501716421,7.558435261,7.568629948
"CDH15",5.016657644,5.274777268,5.148817155,5.916138388,5.38154532,4.994940281,5.214521781,6.266616754,5.244726617,5.194055388,5.459220785,5.297045459,5.241648705,5.250723111
"TOB1",9.258000451,9.492341261,9.437342519,8.578218583,9.073956701,9.424542139,9.314338708,6.915807312,8.792663475,8.935888233,8.64981269,9.490771103,8.968413002,9.005024255
"AKAP9",6.595461874,6.780858102,6.816113683,6.713599418,6.670656858,6.603571721,6.657226624,5.930153905,6.696071665,6.666209676,6.566686033,6.603269164,6.653806272,6.766853391
"FAM13A",7.899192895,7.552432115,7.959286986,7.146340227,7.315210686,7.631621511,7.525619958,6.323821812,7.487347981,7.460001699,7.518779534,7.846899951,7.829069481,7.714171608
"G3BP1",9.227480341,9.164774246,9.122071891,8.659795391,8.939718031,9.007546068,8.911211303,8.889411251,8.792510946,8.715957627,8.819463511,9.195733433,9.047157618,8.922142556
"SUGP2",7.305696495,7.351734685,7.503418893,7.321217505,7.413866888,7.354758249,7.414958059,7.152031222,7.06550958,6.623996101,6.89756491,7.352308483,7.068349842,7.086551871
"EBI3",4.742642255,4.938062186,4.655763703,5.189165418,4.906001857,4.958058083,4.881183977,6.591459332,4.65476153,4.869306542,4.914123031,4.829298392,5.178130937,4.827724295
"ADGRG2",4.470807275,4.515168724,4.506924702,4.743498758,4.534952063,4.23858938,4.420855497,4.752477217,5.055603885,4.874512481,4.55746155,4.763409401,4.583875632,4.635146414
"MBNL2",5.378962657,5.373512709,5.693145984,5.326224924,5.223835861,5.352714021,5.335338024,5.047053988,5.111509787,5.306160112,5.213790723,5.438100055,5.175756536,5.268035195
"ABI2",6.651163805,6.859750156,6.798250543,7.546604928,6.891246551,6.723251287,6.719093049,7.263604154,6.724906863,6.66852871,6.603775996,6.804630801,6.885273293,6.745131056
"CEBPZ",7.217381521,7.050590418,7.667411554,6.522659632,6.802565758,7.06538972,7.118513065,5.675513634,6.858106473,6.794822664,6.777160976,7.207657284,6.357850402,6.596832416
"PLXNC1",9.059792919,8.633569341,8.612018505,7.653978065,8.99610731,8.555615961,9.020404841,7.416753751,8.550799429,9.078654029,8.544404114,8.090195725,8.238062632,8.104622679
"TRIM28",10.46806393,10.49648632,10.78879506,10.64204838,10.45482268,10.60413922,10.33105971,9.396639481,10.08832779,9.789774895,10.05310586,10.22148238,10.14685497,10.38147694
"AASS",4.444893163,4.369438515,4.6453971,4.387048008,4.846027984,4.541141189,4.639450417,5.376009512,4.200010304,4.2453191,4.234906685,4.319499762,4.595681423,4.416793455
"PDZK1IP1",9.710793334,9.2333993,8.601552002,9.732291378,8.945120898,9.458656193,9.124804834,9.119430863,9.172616829,10.22693414,10.41120967,9.418448274,9.454153667,9.653968535
"ATP6AP2",10.99121625,11.13642796,10.96661977,10.29571608,11.06739743,10.96471173,11.08565021,10.02376007,10.78310729,10.76274588,10.62177631,10.89126247,10.57861811,10.58775239
"CDH17",4.745635145,4.93245723,4.634381801,5.385005643,5.013674998,4.895073348,4.588679412,4.642447568,4.971074687,4.919135252,5.009041537,4.686297978,5.437334829,5.034164913
"FARP1",4.793398633,4.753282115,4.650409811,5.056025992,4.866013138,4.84873435,4.754528368,5.448662384,4.871434757,4.939711107,4.841919946,4.86370689,4.978107156,4.921116276
"LPAR6",6.54865941,6.821440286,7.026050584,5.893721447,6.211040288,6.364988821,7.076282041,5.839516734,7.055458334,7.662385589,7.458006033,7.303814573,6.72582187,6.860071281
"LPCAT3",6.484232651,6.625605811,6.384893108,6.666817462,6.860659789,6.114988766,6.489644128,5.361095197,6.598786508,6.26148869,6.05838489,6.505076001,6.23527771,6.245001572
"CHST4",5.543545675,5.617281982,5.640769214,5.789067706,5.708618216,5.862279085,5.576804786,6.437276596,5.677532876,5.887877596,5.816508334,5.791650713,5.693618859,5.488733835
"SLC25A13",6.097651916,6.231463714,6.056915974,5.484911917,5.682096669,5.933865185,5.850865487,5.780115108,6.08538356,6.34243428,5.726767473,6.423925595,5.721103105,6.117828717
"ZNF197",4.593985664,4.499677842,4.407561538,5.024896615,4.555795198,4.387383448,4.359089812,5.371790121,4.445882634,4.781667442,4.692750343,4.55254105,4.67907748,4.690605971
"SERF2",11.8579909,11.61711472,11.45531888,11.68492126,11.58008656,11.61078078,11.58574059,11.19555494,11.44252984,11.93163769,12.27187525,11.8146117,11.81245115,11.97061911
"CDH18",4.863320191,4.785717031,4.684222871,5.483765894,5.033241909,4.710274861,4.727172958,6.28766324,4.881265864,4.623038737,4.987347782,4.738539052,4.990727792,4.942270911
"DHRS9",8.256326205,8.759946413,8.301987514,8.438833585,8.895870442,8.717042846,9.237489582,8.924615776,10.54971109,10.39676387,10.10049653,9.188317882,9.264410567,9.712751825
"RCL1",8.046823934,7.733621471,7.919464576,8.624257365,7.953181612,7.977495041,7.76304643,6.782262286,7.722500867,7.96318697,8.048022235,8.047660857,7.940763719,7.886887973
"SORBS3",6.572598261,6.651035103,6.525960962,7.215566195,6.841901532,6.472165837,6.384073423,6.956173016,6.190102219,6.161250047,6.204423413,6.525329183,6.568897077,6.408927074
"CNIH1",9.121139105,9.092448129,9.266585247,8.230774995,8.923041635,9.259939451,9.312369123,7.267025784,8.811609243,8.784707513,8.751078849,9.471385628,8.905595248,9.074255584
"RBM7",7.841691423,7.927682012,7.918787945,6.686566189,7.550065871,7.949695536,7.977853443,5.956782373,8.268428381,8.77594291,8.109743251,8.025954744,7.61445988,8.057608259
"CDK2",7.152401246,7.220561005,7.365320328,7.15060735,7.038486955,7.197747459,7.151019071,7.25556319,7.186983362,6.999594367,6.95920993,7.301985246,7.195072263,7.310837596
"RBM5",11.43779721,11.63798793,11.66653386,11.13763667,11.59397574,11.52878663,11.57333907,11.08296372,11.48848856,11.15584773,11.0812464,11.26853815,11.24635162,11.27332723
"LHFPL6",3.972852694,4.279812851,4.101492474,4.195102896,4.271803372,4.076065543,3.9544695,4.09817046,4.22666335,4.168935064,4.259563755,4.117774586,3.717802808,4.075173269
"TNK2",7.296211271,7.283083572,7.247831897,7.547426721,7.178739503,7.200983465,7.364916134,7.894351112,7.919987945,7.616927256,7.504156352,7.269660033,7.48029121,7.349227164
"CDK3",6.835214358,6.902417234,7.015438822,7.152412318,6.880556536,6.928230556,6.689563129,6.949481436,6.980189091,6.66710465,6.804285707,6.761592823,6.999134457,6.959769443
"TXNDC9",6.234539059,6.119400013,6.393970858,5.341190533,5.882365869,6.13537506,6.333024464,4.800474946,6.10234196,5.981015306,6.026718952,6.378508025,5.865789935,6.060261992
"RNF41",7.382033741,7.242472719,7.418979916,7.113153413,7.359034527,7.558468519,7.361397083,6.976083923,7.43514413,7.448392458,7.24966254,7.605936098,7.227483305,7.498244026
"ALG3",8.457161676,8.088779485,8.404216788,8.890605313,8.360848176,8.428631596,8.190040643,8.109536951,8.392219719,8.431992085,8.677109687,8.80197864,8.84071215,8.687981029
"PRMT3",5.967080374,6.014442437,6.156566615,5.256560477,5.541303954,5.989432414,5.943751023,6.321286908,5.781418979,5.803948055,5.425786717,6.475502527,5.618782481,5.907027743
"PSME3",8.689815078,8.546451854,8.555771068,8.383999601,8.805394051,8.390813044,8.583114414,8.474924559,8.478614557,8.433623299,8.341621662,8.438814512,8.262291575,8.548133925
"MPHOSPH9",6.21279303,6.15906045,6.444698567,5.671553032,5.896025533,6.164965128,6.046342386,4.609286796,5.769192772,6.082853495,5.869664793,6.154518982,6.087926126,6.039084195
"MPHOSPH10",7.140961169,7.023419658,7.843552444,6.850832865,6.812136259,7.242738559,7.413121527,7.269652653,6.993028628,7.044652588,7.050571607,7.30845665,7.255021998,6.918645512
"CDK4",8.978512485,8.973708674,9.065710744,9.203869473,8.880638375,9.111037359,8.935929039,8.45083199,8.633957161,8.521552894,8.935769215,9.282569123,9.101806005,9.293225498
"ADAM8",8.807346519,8.853193917,8.383173255,8.486098917,8.958805784,8.482993331,8.737848313,8.230150088,8.6178973,8.522351607,8.366026004,8.400811461,8.346122501,8.4500104
"MPHOSPH6",7.524764457,7.687886829,7.796216499,7.221514985,7.342638817,7.579555269,7.479584965,7.010330523,7.393067982,7.186488519,7.367674195,7.580706934,7.418806738,7.299660272
